DLiP-ID,J100CN
DLiP-Mol-ID,37157
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C24H24N2O7S/c1-33-16-8-10-17(11-9-16)34(31,32)26(15-23(27)28)21-13-12-20(18-5-2-3-6-19(18)21)25-14-4-7-22(25)24(29)30/h2-3,5-6,8-13,22H,4,7,14-15H2,1H3,(H,27,28)(H,29,30)/t22-/m0/s1"
Standard Inchi Key(RDKit),XIIZECUWKNXLCU-QFIPXVFZSA-N
Canonical SMILES(RDKit),COc1ccc(S(=O)(=O)N(CC(=O)O)c2ccc(N3CCC[C@H]3C(=O)O)c3ccccc23)cc1
SMILES(SDF),
MW(SDF),
MW(RDKit),484.53
MW Monoisotopic(RDKit),484.130422108
MolLogP(RDKit),3.1817
XLogP(SDF),
XLogP(CDK),4.161
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),6
HBA Lipinski(RDKit),9
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),2
HBD Lipinski(RDKit),2
PSA(SDF),
PSA(RDKit),124.45
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),8
nRings(SDF),
nRings(RDKit),4
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),34
QED Weighted(RDKit),0.499580640914482
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,KEAP1/NRF2
Common Target Pref Name,KEAP1/NRF2
RDKit Descriptors
Ipc,48187896.876848616
qed,0.499580640914482
Chi0,24.457454678884094
Chi1,16.234419236498233
TPSA,124.45
Chi0n,18.417624210615088
Chi0v,19.234120791542814
Chi1n,10.635611895751188
Chi1v,12.075675224551828
Chi2n,7.920004070874974
Chi2v,9.782314346904531
Chi3n,5.920325760368415
Chi3v,7.694282017580999
Chi4n,4.344389910096056
Chi4v,5.77744641193324
MolMR,127.11340000000006
MolWt,484.53000000000026
fr_SH,0
Kappa1,23.370935025991837
Kappa2,9.22055975181077
Kappa3,4.237036679450324
fr_ArN,0
fr_COO,2
fr_C_O,2
fr_C_S,0
fr_NH0,2
fr_NH1,0
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,1339.1886019768408
MolLogP,3.181700000000001
NOCount,9
fr_Ar_N,0
fr_COO2,2
fr_urea,0
BalabanJ,1.8681739794623533
SMR_VSA1,32.956789095954036
SMR_VSA2,0.0
SMR_VSA3,0.0
SMR_VSA4,0.0
SMR_VSA5,23.778967550517756
SMR_VSA6,29.404436075249397
SMR_VSA7,60.6636706846161
SMR_VSA8,0.0
SMR_VSA9,5.749511833283905
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,0
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,1
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,196.38936778574805
NHOHCount,2
PEOE_VSA1,19.84982747433194
PEOE_VSA2,9.099753175368056
PEOE_VSA3,13.212334168400758
PEOE_VSA4,0.0
PEOE_VSA5,0.0
PEOE_VSA6,24.26546827384644
PEOE_VSA7,49.23984565662168
PEOE_VSA8,23.00459110952573
PEOE_VSA9,17.69266729147887
RingCount,4
SMR_VSA10,44.109122707608
fr_Al_COO,2
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,484.130422108
NumHDonors,2
PEOE_VSA10,18.33610906834444
PEOE_VSA11,0.0
PEOE_VSA12,0.0
PEOE_VSA13,10.023291153407584
PEOE_VSA14,11.938610575903699
SlogP_VSA1,13.94198867594676
SlogP_VSA2,56.81061353216468
SlogP_VSA3,19.612365521551226
SlogP_VSA4,0.0
SlogP_VSA5,12.841643245852019
SlogP_VSA6,65.55915416013387
SlogP_VSA7,0.0
SlogP_VSA8,10.772448428929591
SlogP_VSA9,0.0
fr_amidine,0
fr_aniline,2
fr_benzene,3
fr_epoxide,0
fr_guanido,0
fr_halogen,0
fr_hdrzine,0
fr_hdrzone,0
fr_isocyan,0
fr_lactone,0
fr_methoxy,1
fr_nitrile,0
fr_nitroso,0
fr_oxazole,0
fr_sulfide,0
fr_sulfone,0
EState_VSA1,34.548498964371824
EState_VSA2,10.582869750201336
EState_VSA3,35.174924565735644
EState_VSA4,10.726037614222243
EState_VSA5,31.37526581512397
EState_VSA6,41.29811214162014
EState_VSA7,0.0
EState_VSA8,0.0
EState_VSA9,4.736862953800049
SlogP_VSA10,11.374772549367124
SlogP_VSA11,5.749511833283905
SlogP_VSA12,0.0
VSA_EState1,0.0
VSA_EState2,0.0
VSA_EState3,0.0
VSA_EState4,0.0
VSA_EState5,0.0
VSA_EState6,0.0
VSA_EState7,0.0
VSA_EState8,27.918552000281796
VSA_EState9,67.3972704151041
fr_aldehyde,0
fr_barbitur,0
fr_bicyclic,1
fr_priamide,0
fr_pyridine,0
fr_thiazole,0
fr_thiocyan,0
EState_VSA10,28.219926142153987
EState_VSA11,0.0
FractionCSP3,0.25
VSA_EState10,-4.232489082052573
fr_C_O_noCOO,0
fr_Nhpyrrole,0
fr_imidazole,0
fr_phos_acid,0
fr_piperdine,0
fr_piperzine,0
fr_sulfonamd,1
fr_tetrazole,0
fr_thiophene,0
HallKierAlpha,-3.789999999999999
NumHAcceptors,6
fr_morpholine,0
fr_nitro_arom,0
fr_phos_ester,0
HeavyAtomCount,34
HeavyAtomMolWt,460.3380000000003
MaxEStateIndex,13.527769953277708
MinEStateIndex,-4.232489082052573
NumHeteroatoms,10
fr_aryl_methyl,0
fr_isothiocyan,0
fr_Al_OH_noTert,0
fr_alkyl_halide,0
fr_allylic_oxid,0
fr_prisulfonamd,0
FpDensityMorgan1,1.0294117647058822
FpDensityMorgan2,1.7058823529411764
FpDensityMorgan3,2.323529411764706
MaxPartialCharge,0.3258255626381214
MinPartialCharge,-0.49676711201369894
NumAromaticRings,3
fr_unbrch_alkane,0
MaxAbsEStateIndex,13.527769953277708
MinAbsEStateIndex,0.07574833575915796
NumAliphaticRings,1
NumRotatableBonds,8
NumSaturatedRings,1
fr_Ndealkylation1,0
fr_Ndealkylation2,0
fr_benzodiazepine,0
fr_ketone_Topliss,0
fr_term_acetylene,0
fr_alkyl_carbamate,0
fr_dihydropyridine,0
MaxAbsPartialCharge,0.49676711201369894
MinAbsPartialCharge,0.3258255626381214
NumRadicalElectrons,0
NumValenceElectrons,178
fr_para_hydroxylation,0
NumAromaticCarbocycles,3
fr_nitro_arom_nonortho,0
fr_phenol_noOrthoHbond,0
NumAliphaticCarbocycles,0
NumAromaticHeterocycles,0
NumSaturatedCarbocycles,0
NumAliphaticHeterocycles,1
NumSaturatedHeterocycles,1
Mordred Descriptors
MW,484.1304221080007
MZ,0.7298850574712643
Mi,1.1198396931299985
Mm,0.6955161791346438
Mp,0.6896245302498452
Mv,0.6587674010542055
SZ,42.33333333333333
Si,64.95070220153991
Sm,40.33993838980934
Sp,39.99822275449102
Sv,38.20850926114392
nB,0
nC,24
nF,0
nH,24
nI,0
nN,2
nO,7
nP,0
nS,1
