DLiP-ID,T001QM
DLiP-Mol-ID,17574
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C25H28N4O4S/c1-29-23(34-10-8-19-6-4-16-3-2-9-26-25(16)27-19)14-20(28-29)11-18(13-24(30)31)17-5-7-21-22(12-17)33-15-32-21/h4-7,12,14,18H,2-3,8-11,13,15H2,1H3,(H,26,27)(H,30,31)"
Standard Inchi Key(RDKit),GARROJJZLJSGSW-UHFFFAOYSA-N
Canonical SMILES(RDKit),Cn1nc(CC(CC(=O)O)c2ccc3c(c2)OCO3)cc1SCCc1ccc2c(n1)NCCC2
SMILES(SDF),
MW(SDF),
MW(RDKit),480.59
MW Monoisotopic(RDKit),480.183126376
MolLogP(RDKit),4.0377
XLogP(SDF),
XLogP(CDK),3.345
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),8
HBA Lipinski(RDKit),8
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),2
HBD Lipinski(RDKit),2
PSA(SDF),
PSA(RDKit),98.5
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),9
nRings(SDF),
nRings(RDKit),5
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),34
QED Weighted(RDKit),0.443032810550466
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Integrins
Common Target Pref Name,Integrins
RDKit Descriptors
Ipc,87840812.27960357
qed,0.4430328105504655
Chi0,23.49298858481683
Chi1,16.5468465311072
TPSA,98.50000000000001
Chi0n,19.120153677675045
Chi0v,19.93665025860277
Chi1n,11.546775980876093
Chi1v,12.532374540529583
Chi2n,8.648239679859103
Chi2v,9.76343955114835
Chi3n,6.192030077864623
Chi3v,7.278119453994321
Chi4n,4.447995802440089
Chi4v,5.415364916461697
MolMR,129.94650000000004
MolWt,480.5900000000003
fr_SH,0
Kappa1,22.585242436253143
Kappa2,9.966497314559446
Kappa3,5.1407950776507985
fr_ArN,0
fr_COO,1
fr_C_O,1
fr_C_S,0
fr_NH0,3
fr_NH1,1
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,1195.6539100010623
MolLogP,4.037700000000003
NOCount,8
fr_Ar_N,3
fr_COO2,1
fr_urea,0
BalabanJ,1.23084302177466
SMR_VSA1,19.374790486512627
SMR_VSA2,0.0
SMR_VSA3,14.76446326439343
SMR_VSA4,7.04767198267719
SMR_VSA5,43.04797413946068
SMR_VSA6,24.407340922765524
SMR_VSA7,58.91296138386057
SMR_VSA8,0.0
SMR_VSA9,11.49902366656781
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,0
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,2
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,202.23099244106342
NHOHCount,2
PEOE_VSA1,19.897041906447136
PEOE_VSA2,9.476340119217006
PEOE_VSA3,4.9839785209472085
PEOE_VSA4,5.098681808301038
PEOE_VSA5,11.761884949391115
PEOE_VSA6,12.13273413692322
PEOE_VSA7,61.075657748944465
PEOE_VSA8,30.95711603634641
PEOE_VSA9,17.140709596443713
RingCount,5
SMR_VSA10,23.549053015177993
fr_Al_COO,1
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,480.183126376
NumHDonors,2
PEOE_VSA10,5.817862777835028
PEOE_VSA11,11.49902366656781
PEOE_VSA12,6.792942306099827
PEOE_VSA13,0.0
PEOE_VSA14,5.969305287951849
SlogP_VSA1,14.790514511606428
SlogP_VSA2,44.93084826594518
SlogP_VSA3,31.10467403552704
SlogP_VSA4,0.0
SlogP_VSA5,41.274308265104324
SlogP_VSA6,41.424162389438905
SlogP_VSA7,0.0
SlogP_VSA8,0.0
SlogP_VSA9,0.0
fr_amidine,0
fr_aniline,1
fr_benzene,1
fr_epoxide,0
fr_guanido,0
fr_halogen,0
fr_hdrzine,0
fr_hdrzone,0
fr_isocyan,0
fr_lactone,0
fr_methoxy,0
fr_nitrile,0
fr_nitroso,0
fr_oxazole,0
fr_sulfide,1
fr_sulfone,0
EState_VSA1,5.969305287951849
EState_VSA2,19.13166997518723
EState_VSA3,17.919845289493818
EState_VSA4,59.35520511933558
EState_VSA5,5.563451491696996
EState_VSA6,11.761884949391115
EState_VSA7,29.928576123207204
EState_VSA8,28.614571617692196
EState_VSA9,14.457704428547306
SlogP_VSA10,5.817862777835028
SlogP_VSA11,11.49902366656781
SlogP_VSA12,11.761884949391115
VSA_EState1,0.0
VSA_EState2,0.0
VSA_EState3,0.0
VSA_EState4,0.0
VSA_EState5,0.0
VSA_EState6,0.0
VSA_EState7,0.0
VSA_EState8,1.8743205135079233
VSA_EState9,71.05194182579419
fr_aldehyde,0
fr_barbitur,0
fr_bicyclic,2
fr_priamide,0
fr_pyridine,1
fr_thiazole,0
fr_thiocyan,0
EState_VSA10,9.901064578912528
EState_VSA11,0.0
FractionCSP3,0.4
VSA_EState10,1.7404043273645544
fr_C_O_noCOO,0
fr_Nhpyrrole,0
fr_imidazole,0
fr_phos_acid,0
fr_piperdine,0
fr_piperzine,0
fr_sulfonamd,0
fr_tetrazole,0
fr_thiophene,0
