DLiP-ID,T007NR
DLiP-Mol-ID,25858
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C23H29N3O4/c1-30-21-12-8-18(15-25-21)17(14-22(28)29)4-2-6-20(27)11-10-19-9-7-16-5-3-13-24-23(16)26-19/h7-9,12,15,17H,2-6,10-11,13-14H2,1H3,(H,24,26)(H,28,29)/t17-/m0/s1"
Standard Inchi Key(RDKit),YJTFZPUDXPSWOJ-KRWDZBQOSA-N
Canonical SMILES(RDKit),COc1ccc([C@@H](CCCC(=O)CCc2ccc3c(n2)NCCC3)CC(=O)O)cn1
SMILES(SDF),
MW(SDF),
MW(RDKit),411.502
MW Monoisotopic(RDKit),411.215806408
MolLogP(RDKit),3.7738
XLogP(SDF),
XLogP(CDK),2.724
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),6
HBA Lipinski(RDKit),7
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),2
HBD Lipinski(RDKit),2
PSA(SDF),
PSA(RDKit),101.41
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),11
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),30
QED Weighted(RDKit),0.580171239749032
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Integrins
Common Target Pref Name,Integrins
RDKit Descriptors
Ipc,5925851.682671376
qed,0.5801712397490317
Chi0,21.346724214874865
Chi1,14.546045193307766
TPSA,101.41
Chi0n,17.39444830370815
Chi0v,17.39444830370815
Chi1n,10.509781205629645
Chi1v,10.509781205629645
Chi2n,7.700233306386269
Chi2v,7.700233306386269
Chi3n,5.480780048448872
Chi3v,5.480780048448872
Chi4n,3.797515552174155
Chi4v,3.797515552174155
MolMR,114.00950000000007
MolWt,411.5020000000002
fr_SH,0
Kappa1,21.741796325387607
Kappa2,10.71247967616232
Kappa3,6.270428986114125
fr_ArN,0
fr_COO,1
fr_C_O,2
fr_C_S,0
fr_NH0,2
fr_NH1,1
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,867.2519796259414
MolLogP,3.7738000000000023
NOCount,7
fr_Ar_N,2
fr_COO2,1
fr_urea,0
BalabanJ,1.466295493157726
SMR_VSA1,19.432464716784395
SMR_VSA2,0.0
SMR_VSA3,9.967957041894417
SMR_VSA4,0.0
SMR_VSA5,57.28447902956948
SMR_VSA6,18.97134255119644
SMR_VSA7,47.283142823701965
SMR_VSA8,0.0
SMR_VSA9,5.879988336435371
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,0
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,1
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,176.44689498647918
NHOHCount,2
PEOE_VSA1,15.160178952647085
PEOE_VSA2,9.589074368143644
PEOE_VSA3,9.967957041894417
PEOE_VSA4,0.0
PEOE_VSA5,0.0
PEOE_VSA6,12.13273413692322
PEOE_VSA7,55.21528421264705
PEOE_VSA8,37.343538286687746
PEOE_VSA9,13.530619164203543
RingCount,3
SMR_VSA10,17.570413012151818
fr_Al_COO,1
fr_Ar_COO,0
fr_ketone,1
fr_lactam,0
fr_phenol,0
ExactMolWt,411.215806408
NumHDonors,2
PEOE_VSA10,11.601107724199966
PEOE_VSA11,0.0
PEOE_VSA12,5.879988336435371
PEOE_VSA13,0.0
PEOE_VSA14,5.969305287951849
SlogP_VSA1,10.05365155780638
SlogP_VSA2,40.48158861824202
SlogP_VSA3,22.43071761399566
SlogP_VSA4,0.0
SlogP_VSA5,61.2636667619599
SlogP_VSA6,30.462311845459517
SlogP_VSA7,0.0
SlogP_VSA8,0.0
SlogP_VSA9,0.0
fr_amidine,0
fr_aniline,1
fr_benzene,0
fr_epoxide,0
fr_guanido,0
fr_halogen,0
fr_hdrzine,0
fr_hdrzone,0
fr_isocyan,0
fr_lactone,0
fr_methoxy,1
fr_nitrile,0
fr_nitroso,0
fr_oxazole,0
fr_sulfide,0
fr_sulfone,0
EState_VSA1,5.969305287951849
EState_VSA2,18.121972615452343
EState_VSA3,37.98409645106542
EState_VSA4,36.46164191614508
EState_VSA5,5.563451491696996
EState_VSA6,19.37300818135222
EState_VSA7,12.13273413692322
EState_VSA8,21.35111271436236
EState_VSA9,4.736862953800049
SlogP_VSA10,5.817862777835028
SlogP_VSA11,5.879988336435371
SlogP_VSA12,0.0
VSA_EState1,0.0
VSA_EState2,0.0
VSA_EState3,0.0
VSA_EState4,0.0
VSA_EState5,0.0
VSA_EState6,0.0
VSA_EState7,0.0
VSA_EState8,0.0
VSA_EState9,70.5
fr_aldehyde,0
fr_barbitur,0
fr_bicyclic,1
fr_priamide,0
fr_pyridine,2
fr_thiazole,0
fr_thiocyan,0
EState_VSA10,14.69560176298435
EState_VSA11,0.0
FractionCSP3,0.4782608695652174
VSA_EState10,0.0
fr_C_O_noCOO,1
fr_Nhpyrrole,0
fr_imidazole,0
fr_phos_acid,0
fr_piperdine,0
fr_piperzine,0
fr_sulfonamd,0
fr_tetrazole,0
fr_thiophene,0
HallKierAlpha,-2.96
NumHAcceptors,6
fr_morpholine,0
fr_nitro_arom,0
fr_phos_ester,0
HeavyAtomCount,30
HeavyAtomMolWt,382.27000000000015
MaxEStateIndex,12.340238686728135
MinEStateIndex,-0.8525573744196089
NumHeteroatoms,7
fr_aryl_methyl,2
fr_isothiocyan,0
fr_Al_OH_noTert,0
fr_alkyl_halide,0
fr_allylic_oxid,0
fr_prisulfonamd,0
FpDensityMorgan1,1.2333333333333334
FpDensityMorgan2,2.1
FpDensityMorgan3,2.8333333333333335
