DLiP-ID,T001E2
DLiP-Mol-ID,17035
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C22H30N4O4/c27-19(15-20(28)29)25-10-3-17(4-11-25)21(30)26-14-7-22(16-26)5-12-24(13-6-22)18-1-8-23-9-2-18/h1-2,8-9,17H,3-7,10-16H2,(H,28,29)"
Standard Inchi Key(RDKit),DXKUTGOCZKVTMV-UHFFFAOYSA-N
Canonical SMILES(RDKit),O=C(O)CC(=O)N1CCC(C(=O)N2CCC3(CCN(c4ccncc4)CC3)C2)CC1
SMILES(SDF),
MW(SDF),
MW(RDKit),414.506
MW Monoisotopic(RDKit),414.22670544
MolLogP(RDKit),1.6138
XLogP(SDF),
XLogP(CDK),1.228
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),5
HBA Lipinski(RDKit),8
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),1
PSA(SDF),
PSA(RDKit),94.05
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),4
nRings(SDF),
nRings(RDKit),4
Aromatic Rings(RDKit),1
nAtoms(SDF),
Heavy Atoms(RDKit),30
QED Weighted(RDKit),0.752677786934287
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Integrins
Common Target Pref Name,Integrins
RDKit Descriptors
Ipc,8641718.238215087
qed,0.7526777869342868
Chi0,21.139617433688308
Chi1,14.455927458031287
TPSA,94.05
Chi0n,17.33284556907808
Chi0v,17.33284556907808
Chi1n,10.891072997229532
Chi1v,10.891072997229532
Chi2n,8.927829192286392
Chi2v,8.927829192286392
Chi3n,7.1013253432262164
Chi3v,7.1013253432262164
Chi4n,5.200679687219353
Chi4v,5.200679687219353
MolMR,110.87080000000007
MolWt,414.5060000000002
fr_SH,0
Kappa1,20.625447046509084
Kappa2,8.615110047232212
Kappa3,4.418483633761939
fr_ArN,0
fr_COO,1
fr_C_O,3
fr_C_S,0
fr_NH0,4
fr_NH1,0
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,783.5870884902662
MolLogP,1.6138000000000001
NOCount,8
fr_Ar_N,1
fr_COO2,1
fr_urea,0
BalabanJ,1.2633072823021416
SMR_VSA1,19.49013894705617
SMR_VSA2,0.0
SMR_VSA3,14.783797982648164
SMR_VSA4,11.332896515558172
SMR_VSA5,38.524929737556064
SMR_VSA6,44.16844816632592
SMR_VSA7,24.52642128014937
SMR_VSA8,0.0
SMR_VSA9,0.0
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,2
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,176.39587464753555
NHOHCount,1
PEOE_VSA1,19.80625658739214
PEOE_VSA2,19.367590073162674
PEOE_VSA3,0.0
PEOE_VSA4,0.0
PEOE_VSA5,0.0
PEOE_VSA6,0.0
PEOE_VSA7,49.651832720950054
PEOE_VSA8,63.267517899546554
PEOE_VSA9,0.0
RingCount,4
SMR_VSA10,23.471051021338422
fr_Al_COO,1
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,414.22670544000005
NumHDonors,1
PEOE_VSA10,6.4208216229260096
PEOE_VSA11,0.0
PEOE_VSA12,11.814359458703011
PEOE_VSA13,0.0
PEOE_VSA14,5.969305287951849
SlogP_VSA1,4.899909730850478
SlogP_VSA2,76.94252855961919
SlogP_VSA3,14.383611552215466
SlogP_VSA4,11.332896515558172
SlogP_VSA5,38.524929737556064
SlogP_VSA6,24.52642128014937
SlogP_VSA7,0.0
SlogP_VSA8,0.0
SlogP_VSA9,0.0
fr_amidine,0
fr_aniline,1
fr_benzene,0
fr_epoxide,0
fr_guanido,0
fr_halogen,0
fr_hdrzine,0
fr_hdrzone,0
fr_isocyan,0
fr_lactone,0
fr_methoxy,0
fr_nitrile,0
fr_nitroso,0
fr_oxazole,0
fr_sulfide,0
fr_sulfone,0
EState_VSA1,12.390126910877859
EState_VSA2,23.147255974261185
EState_VSA3,25.93115605767717
EState_VSA4,45.44149049242832
EState_VSA5,5.687386274683562
EState_VSA6,4.899909730850478
EState_VSA7,17.29359687407663
EState_VSA8,22.016622388720904
EState_VSA9,5.106527394840706
SlogP_VSA10,5.687386274683562
SlogP_VSA11,0.0
SlogP_VSA12,0.0
VSA_EState1,0.0
VSA_EState2,0.0
VSA_EState3,0.0
VSA_EState4,0.0
VSA_EState5,0.0
VSA_EState6,0.0
VSA_EState7,0.0
VSA_EState8,0.0
VSA_EState9,71.24999999999999
fr_aldehyde,0
fr_barbitur,0
fr_bicyclic,0
fr_priamide,0
fr_pyridine,1
fr_thiazole,0
fr_thiocyan,0
EState_VSA10,14.383611552215466
EState_VSA11,0.0
FractionCSP3,0.6363636363636364
VSA_EState10,0.0
fr_C_O_noCOO,2
fr_Nhpyrrole,0
fr_imidazole,0
fr_phos_acid,0
fr_piperdine,2
fr_piperzine,0
fr_sulfonamd,0
fr_tetrazole,0
fr_thiophene,0
HallKierAlpha,-2.6399999999999997
NumHAcceptors,5
fr_morpholine,0
fr_nitro_arom,0
fr_phos_ester,0
HeavyAtomCount,30
HeavyAtomMolWt,384.2660000000002
MaxEStateIndex,13.0774684449716
MinEStateIndex,-1.1013489410317556
NumHeteroatoms,8
fr_aryl_methyl,0
fr_isothiocyan,0
fr_Al_OH_noTert,0
fr_alkyl_halide,0
fr_allylic_oxid,0
fr_prisulfonamd,0
FpDensityMorgan1,0.9666666666666667
FpDensityMorgan2,1.6
FpDensityMorgan3,2.2333333333333334
MaxPartialCharge,0.3123857510089371
MinPartialCharge,-0.4808538966734274
NumAromaticRings,1
fr_unbrch_alkane,0
MaxAbsEStateIndex,13.0774684449716
MinAbsEStateIndex,0.05005939670532045
NumAliphaticRings,3
NumRotatableBonds,4
NumSaturatedRings,3
fr_Ndealkylation1,0
fr_Ndealkylation2,2
fr_benzodiazepine,0
fr_ketone_Topliss,0
fr_term_acetylene,0
fr_alkyl_carbamate,0
fr_dihydropyridine,0
MaxAbsPartialCharge,0.4808538966734274
MinAbsPartialCharge,0.3123857510089371
NumRadicalElectrons,0
NumValenceElectrons,162
fr_para_hydroxylation,0
NumAromaticCarbocycles,0
fr_nitro_arom_nonortho,0
fr_phenol_noOrthoHbond,0
NumAliphaticCarbocycles,0
NumAromaticHeterocycles,1
NumSaturatedCarbocycles,0
NumAliphaticHeterocycles,3
NumSaturatedHeterocycles,3
Mordred Descriptors
MW,414.2267054400009
MZ,0.6166666666666667
Mi,1.1371640335219018
Mm,0.5751755335387008
Mp,0.6422334331337326
Mv,0.6003077956442096
SZ,37.0
Si,68.2298420113141
Sm,34.510532012322045
Sp,38.53400598802396
Sv,36.018467738652575
nB,0
nC,22
nF,0
nH,30
nI,0
nN,4
nO,4
nP,0
nS,0
nX,0
ABC,23.610322520041247
AMW,6.903778424000015
IC0,1.5516537043039171
IC1,3.161464008484205
IC2,4.196834613373055
IC3,4.761406329721842
IC4,5.106890595608519
IC5,5.106890595608519
MID,61.41086484477364
Mpe,0.9674509803921568
Mse,1.0048798252002915
NdO,3
NdS,0
NsF,0
NsI,0
NtN,0
SMR,110.87080000000007
SdO,35.725589617460415
SdS,0
Spe,58.04705882352941
SsF,0
SsI,0
Sse,60.292789512017485
StN,0
fMF,0.38333333333333336
nBr,0
nCl,0
AMID,2.0470288281591213
BIC0,0.25401448668706955
BIC1,0.5175495376753656
BIC2,0.6870455611774042
BIC3,0.7794691440481126
BIC4,0.8360268722411003
BIC5,0.8360268722411003
CIC0,4.355236891304601
CIC1,2.7454265871243138
CIC2,1.7100559822354633
CIC3,1.1454842658866768
CIC4,0.7999999999999998
CIC5,0.7999999999999998
GGI1,7.0
GGI2,4.000000000000002
GGI3,2.069444444444444
GGI4,1.521666666666667
GGI5,1.1494444444444443
GGI6,0.6760090702947845
GGI7,0.3489937641723356
GGI8,0.30840576971529354
GGI9,0.30188271604938277
JGI1,0.21212121212121213
JGI2,0.08510638297872346
JGI3,0.0440307328605201
JGI4,0.03623015873015874
JGI5,0.03106606606606607
JGI6,0.019882619714552487
JGI7,0.011257863360397921
JGI8,0.011014491775546196
JGI9,0.01161087369420703
MIC0,14.694001530669105
