DLiP-ID,C0008Z
DLiP-Mol-ID,30455
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C14H11NO2S/c16-18(17,13-7-2-1-3-8-13)15-11-10-12-6-4-5-9-14(12)15/h1-11H"
Standard Inchi Key(RDKit),VDWLCYCWLIKWBV-UHFFFAOYSA-N
Canonical SMILES(RDKit),O=S(=O)(c1ccccc1)n1ccc2ccccc21
SMILES(SDF),
MW(SDF),
MW(RDKit),257.314
MW Monoisotopic(RDKit),257.051049592
MolLogP(RDKit),2.8783
XLogP(SDF),
XLogP(CDK),3.526
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),3
HBA Lipinski(RDKit),3
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),0
HBD Lipinski(RDKit),0
PSA(SDF),
PSA(RDKit),39.07
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),2
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),18
QED Weighted(RDKit),0.70778288572767
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Menin/Histone-lysine N-methyltransferase MLL
Common Target Pref Name,MENIN/MLL
RDKit Descriptors
Ipc,23779.933757512346
qed,0.7077828857276697
Chi0,12.58757566981053
Chi1,8.693506678639471
TPSA,39.07
Chi0n,9.522811427977434
Chi0v,10.33930800890516
Chi1n,5.561879691538193
Chi1v,7.001943020338833
Chi2n,3.9884682528105473
Chi2v,5.803398149770842
Chi3n,2.8636903378204934
Chi3v,4.567887167001788
Chi4n,1.9730887929142862
Chi4v,3.347601668653815
MolMR,70.96380000000003
MolWt,257.314
fr_SH,0
Kappa1,11.045231228589588
Kappa2,3.994747501085526
Kappa3,1.6187600613588145
fr_ArN,0
fr_COO,0
fr_C_O,0
fr_C_S,0
fr_NH0,1
fr_NH1,0
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,788.786760297014
MolLogP,2.878300000000001
NOCount,3
fr_Ar_N,1
fr_COO2,0
fr_urea,0
BalabanJ,2.2688091617387225
SMR_VSA1,8.417796984328938
SMR_VSA2,0.0
SMR_VSA3,3.972405908237111
SMR_VSA4,0.0
SMR_VSA5,4.895483475517775
SMR_VSA6,0.0
SMR_VSA7,66.86051425622918
SMR_VSA8,0.0
SMR_VSA9,0.0
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,0
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,105.35006965732093
NHOHCount,0
PEOE_VSA1,0.0
PEOE_VSA2,0.0
PEOE_VSA3,12.390202892566048
PEOE_VSA4,0.0
PEOE_VSA5,0.0
PEOE_VSA6,36.39820241076966
PEOE_VSA7,24.26546827384644
PEOE_VSA8,11.583067786077873
PEOE_VSA9,10.412184193134037
RingCount,3
SMR_VSA10,20.92621608548864
fr_Al_COO,0
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,257.051049592
NumHDonors,0
PEOE_VSA10,0.0
PEOE_VSA11,0.0
PEOE_VSA12,0.0
PEOE_VSA13,10.023291153407584
PEOE_VSA14,0.0
SlogP_VSA1,0.0
SlogP_VSA2,12.390202892566048
SlogP_VSA3,10.023291153407584
SlogP_VSA4,0.0
SlogP_VSA5,0.0
SlogP_VSA6,71.75599773174696
SlogP_VSA7,0.0
SlogP_VSA8,10.902924932081056
SlogP_VSA9,0.0
fr_amidine,0
fr_aniline,0
fr_benzene,2
fr_epoxide,0
fr_guanido,0
fr_halogen,0
fr_hdrzine,0
fr_hdrzone,0
fr_isocyan,0
fr_lactone,0
fr_methoxy,0
fr_nitrile,0
fr_nitroso,0
fr_oxazole,0
fr_sulfide,0
fr_sulfone,0
EState_VSA1,10.023291153407584
EState_VSA2,0.0
EState_VSA3,10.412184193134037
EState_VSA4,5.386224214464796
EState_VSA5,3.972405908237111
EState_VSA6,48.661413050844345
EState_VSA7,18.19910120538483
EState_VSA8,0.0
EState_VSA9,0.0
SlogP_VSA10,0.0
SlogP_VSA11,0.0
SlogP_VSA12,0.0
VSA_EState1,0.0
VSA_EState2,0.0
VSA_EState3,0.0
VSA_EState4,0.0
VSA_EState5,0.0
VSA_EState6,0.0
VSA_EState7,0.0
VSA_EState8,26.26084089191232
VSA_EState9,21.161404478458053
fr_aldehyde,0
fr_barbitur,0
fr_bicyclic,1
fr_priamide,0
fr_pyridine,0
fr_thiazole,0
fr_thiocyan,0
EState_VSA10,8.417796984328938
EState_VSA11,0.0
FractionCSP3,0.0
VSA_EState10,-3.5055787037037027
fr_C_O_noCOO,0
fr_Nhpyrrole,0
fr_imidazole,0
fr_phos_acid,0
fr_piperdine,0
fr_piperzine,0
fr_sulfonamd,0
fr_tetrazole,0
fr_thiophene,0
HallKierAlpha,-2.0699999999999994
NumHAcceptors,3
fr_morpholine,0
fr_nitro_arom,0
fr_phos_ester,0
HeavyAtomCount,18
HeavyAtomMolWt,246.22599999999994
MaxEStateIndex,12.471855631141345
MinEStateIndex,-3.5055787037037027
NumHeteroatoms,4
fr_aryl_methyl,0
fr_isothiocyan,0
fr_Al_OH_noTert,0
fr_alkyl_halide,0
fr_allylic_oxid,0
fr_prisulfonamd,0
FpDensityMorgan1,0.7777777777777778
FpDensityMorgan2,1.4444444444444444
FpDensityMorgan3,2.2222222222222223
MaxPartialCharge,0.2676508132051828
MinPartialCharge,-0.2411575088457044
NumAromaticRings,3
fr_unbrch_alkane,0
MaxAbsEStateIndex,12.471855631141345
MinAbsEStateIndex,0.2975491307634168
NumAliphaticRings,0
NumRotatableBonds,2
NumSaturatedRings,0
fr_Ndealkylation1,0
fr_Ndealkylation2,0
fr_benzodiazepine,0
fr_ketone_Topliss,0
fr_term_acetylene,0
fr_alkyl_carbamate,0
fr_dihydropyridine,0
MaxAbsPartialCharge,0.2676508132051828
MinAbsPartialCharge,0.2411575088457044
NumRadicalElectrons,0
NumValenceElectrons,90
fr_para_hydroxylation,1
NumAromaticCarbocycles,2
fr_nitro_arom_nonortho,0
fr_phenol_noOrthoHbond,0
NumAliphaticCarbocycles,0
NumAromaticHeterocycles,1
NumSaturatedCarbocycles,0
NumAliphaticHeterocycles,0
NumSaturatedHeterocycles,0
Mordred Descriptors
MW,257.051049592
MZ,0.7701149425287358
Mi,1.1004707199875547
Mm,0.7387107794866199
Mp,0.7499220111501139
Mv,0.7018851533931791
SZ,22.33333333333334
Si,31.913650879639086
Sm,21.422612605111976
Sp,21.747738323353303
Sv,20.354669448402195
nB,0
nC,14
nF,0
nH,11
nI,0
nN,1
nO,2
nP,0
nS,1
nX,0
ABC,14.255873526249683
AMW,8.863829296275863
IC0,1.6387838670649266
IC1,2.3313248312005412
IC2,3.243190601220316
