DLiP-ID,C001NU
DLiP-Mol-ID,32654
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C20H15N3O/c24-16-10-6-9-15(13-16)21-20-17-11-4-5-12-18(17)22-19(23-20)14-7-2-1-3-8-14/h1-13,24H,(H,21,22,23)"
Standard Inchi Key(RDKit),GVWJIKJZLUZKNA-UHFFFAOYSA-N
Canonical SMILES(RDKit),Oc1cccc(Nc2nc(-c3ccccc3)nc3ccccc23)c1
SMILES(SDF),
MW(SDF),
MW(RDKit),313.36
MW Monoisotopic(RDKit),313.1215121
MolLogP(RDKit),4.746
XLogP(SDF),
XLogP(CDK),4.647
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),4
HBA Lipinski(RDKit),4
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),2
HBD Lipinski(RDKit),2
PSA(SDF),
PSA(RDKit),58.04
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),3
nRings(SDF),
nRings(RDKit),4
Aromatic Rings(RDKit),4
nAtoms(SDF),
Heavy Atoms(RDKit),24
QED Weighted(RDKit),0.573042746961274
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Menin/Histone-lysine N-methyltransferase MLL
Common Target Pref Name,MENIN/MLL
RDKit Descriptors
Ipc,532384.7731244928
qed,0.5730427469612739
Chi0,16.355160383312146
Chi1,11.79282633568371
TPSA,58.04
Chi0n,12.847194285965013
Chi0v,12.847194285965013
Chi1n,7.6774350655084
Chi1v,7.6774350655084
Chi2n,5.454323203504172
Chi2v,5.454323203504172
Chi3n,3.7441102737204934
Chi3v,3.7441102737204934
Chi4n,2.608594553363429
Chi4v,2.608594553363429
MolMR,96.36350000000002
MolWt,313.36000000000007
fr_SH,0
Kappa1,14.208733122665903
Kappa2,6.006250000000001
Kappa3,2.770821791320407
fr_ArN,0
fr_COO,0
fr_C_O,0
fr_C_S,0
fr_NH0,2
fr_NH1,1
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,999.7965496305809
MolLogP,4.746000000000003
NOCount,4
fr_Ar_N,2
fr_COO2,0
fr_urea,0
BalabanJ,1.8635190986912566
SMR_VSA1,5.106527394840706
SMR_VSA2,0.0
SMR_VSA3,9.967957041894417
SMR_VSA4,0.0
SMR_VSA5,0.0
SMR_VSA6,5.316788604006331
SMR_VSA7,78.86277189000094
SMR_VSA8,0.0
SMR_VSA9,17.137367822980828
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,1
fr_HOCCN,0
fr_Imine,0
fr_amide,0
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,139.01064796105734
NHOHCount,2
PEOE_VSA1,10.423315998847038
PEOE_VSA2,0.0
PEOE_VSA3,9.967957041894417
PEOE_VSA4,0.0
PEOE_VSA5,0.0
PEOE_VSA6,48.53093654769288
PEOE_VSA7,24.26546827384644
PEOE_VSA8,22.703429049306962
PEOE_VSA9,5.516700717616262
RingCount,4
SMR_VSA10,22.40817398459965
fr_Al_COO,0
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,1
ExactMolWt,313.1215121
NumHDonors,2
PEOE_VSA10,11.567374611118932
PEOE_VSA11,5.824404497999927
PEOE_VSA12,0.0
PEOE_VSA13,0.0
PEOE_VSA14,0.0
SlogP_VSA1,5.316788604006331
SlogP_VSA2,15.074484436735123
SlogP_VSA3,0.0
SlogP_VSA4,0.0
SlogP_VSA5,0.0
SlogP_VSA6,78.86277189000094
SlogP_VSA7,0.0
SlogP_VSA8,22.29078092177798
SlogP_VSA9,0.0
fr_amidine,0
fr_aniline,2
fr_benzene,3
fr_epoxide,0
fr_guanido,0
fr_halogen,0
fr_hdrzine,0
fr_hdrzone,0
fr_isocyan,0
fr_lactone,0
fr_methoxy,0
fr_nitrile,0
fr_nitroso,0
fr_oxazole,0
fr_sulfide,0
fr_sulfone,0
EState_VSA1,0.0
EState_VSA2,5.749511833283905
EState_VSA3,11.642267275834955
EState_VSA4,22.153762698461616
EState_VSA5,0.0
EState_VSA6,18.19910120538483
EState_VSA7,60.6636706846161
EState_VSA8,10.30076712495354
EState_VSA9,4.9839785209472085
SlogP_VSA10,11.50524905251859
SlogP_VSA11,5.749511833283905
SlogP_VSA12,0.0
VSA_EState1,0.0
VSA_EState2,0.0
VSA_EState3,0.0
VSA_EState4,0.0
VSA_EState5,0.0
VSA_EState6,0.0
VSA_EState7,0.0
VSA_EState8,0.0
VSA_EState9,52.16666666666666
fr_aldehyde,0
fr_barbitur,0
fr_bicyclic,1
fr_priamide,0
fr_pyridine,0
fr_thiazole,0
fr_thiocyan,0
EState_VSA10,5.106527394840706
EState_VSA11,0.0
FractionCSP3,0.0
VSA_EState10,0.0
fr_C_O_noCOO,0
fr_Nhpyrrole,0
fr_imidazole,0
fr_phos_acid,0
fr_piperdine,0
fr_piperzine,0
fr_sulfonamd,0
fr_tetrazole,0
fr_thiophene,0
HallKierAlpha,-3.399999999999999
NumHAcceptors,4
fr_morpholine,0
fr_nitro_arom,0
fr_phos_ester,0
HeavyAtomCount,24
HeavyAtomMolWt,298.24000000000007
MaxEStateIndex,9.66419634831792
MinEStateIndex,0.2098560382218395
NumHeteroatoms,4
fr_aryl_methyl,0
fr_isothiocyan,0
fr_Al_OH_noTert,0
fr_alkyl_halide,0
fr_allylic_oxid,0
fr_prisulfonamd,0
FpDensityMorgan1,0.75
FpDensityMorgan2,1.5416666666666667
FpDensityMorgan3,2.375
MaxPartialCharge,0.16166720343414273
MinPartialCharge,-0.5078861404692716
NumAromaticRings,4
fr_unbrch_alkane,0
MaxAbsEStateIndex,9.66419634831792
MinAbsEStateIndex,0.2098560382218395
NumAliphaticRings,0
NumRotatableBonds,3
NumSaturatedRings,0
fr_Ndealkylation1,0
fr_Ndealkylation2,0
fr_benzodiazepine,0
fr_ketone_Topliss,0
fr_term_acetylene,0
fr_alkyl_carbamate,0
fr_dihydropyridine,0
MaxAbsPartialCharge,0.5078861404692716
MinAbsPartialCharge,0.16166720343414273
NumRadicalElectrons,0
NumValenceElectrons,116
fr_para_hydroxylation,1
NumAromaticCarbocycles,3
fr_nitro_arom_nonortho,0
fr_phenol_noOrthoHbond,1
NumAliphaticCarbocycles,0
NumAromaticHeterocycles,1
NumSaturatedCarbocycles,0
NumAliphaticHeterocycles,0
NumSaturatedHeterocycles,0
Mordred Descriptors
MW,313.1215121000004
MZ,0.700854700854701
Mi,1.1075967484584484
Mm,0.6689594367556234
Mp,0.7293704130201139
Mv,0.6936512392553507
SZ,27.33333333333334
Si,43.196273189879484
Sm,26.08941803346931
Sp,28.44544610778444
Sv,27.052398330958674
nB,0
nC,20
nF,0
nH,15
nI,0
nN,3
nO,1
nP,0
nS,0
nX,0
ABC,19.079952548218323
AMW,8.028756720512831
IC0,1.444458415425364
IC1,2.715878304204084
IC2,3.6029537229606805
IC3,4.78515157772566
IC4,5.234120167580197
IC5,5.285402218862248
MID,50.10284944229454
Mpe,0.9709401709401704
Mse,0.9994584197060531
NdO,0
NdS,0
NsF,0
NsI,0
NtN,0
SMR,96.36350000000002
SdO,0
SdS,0
Spe,37.866666666666646
SsF,0
SsI,0
Sse,38.97887836853607
StN,0
fMF,0.5897435897435898
nBr,0
nCl,0
AMID,2.0876187267622726
BIC0,0.2521785047267239
BIC1,0.47414734994101665
BIC2,0.6290160192588491
BIC3,0.8354081757391597
BIC4,0.9137906521397986
BIC5,0.9227436485525188
CIC0,3.840943803436885
CIC1,2.5695239146581645
CIC2,1.6824484959015682
CIC3,0.5002506411365886
CIC4,0.05128205128205199
CIC5,8.881784197001252e-16
GGI1,4.0
GGI2,2.000000000000001
GGI3,1.3125
GGI4,1.12
GGI5,0.7152777777777778
GGI6,0.346938775510204
GGI7,0.2795138888888889
GGI8,0.16376921138825898
GGI9,0.078125
JGI1,0.14814814814814814
JGI2,0.05405405405405408
JGI3,0.03547297297297297
JGI4,0.033939393939393936
JGI5,0.021675084175084177
JGI6,0.010204081632653059
JGI7,0.0090165770609319
JGI8,0.007120400495141695
JGI9,0.006009615384615385
MIC0,12.624260956421216
MIC1,25.074597905806375
MIC2,35.83161973485083
MIC3,41.39902015636699
MIC4,42.415836905196755
MIC5,42.46752921288907
MPC2,37
MPC3,49
MPC4,66
MPC5,87
MPC6,93
MPC7,110
MPC8,128
MPC9,142
Mare,0.981641025641026
NaaN,2
NaaO,0
NaaS,0
NdNH,0
NdSe,0
NddC,0
NdsN,0
NsBr,0
NsCl,0
NsLi,0
NsOH,1
NsSH,0
NssO,0
NssS,0
NtCH,0
NtsC,0
RNCG,0.2681335291907663
RPCG,0.1547361231936244
SIC0,0.2732920515056472
SIC1,0.51384515155948
SIC2,0.6816801397068061
SIC3,0.9053523988484127
SIC4,0.9902974174606732
SIC5,0.9999999999999998
SaaN,9.35704475308642
SaaO,0
SaaS,0
Sare,38.28400000000001
SdNH,0
SdSe,0
SddC,0
SdsN,0
SsBr,0
SsCl,0
SsLi,0
SsOH,9.66419634831792
SsSH,0
SssO,0
SssS,0
StCH,0
StsC,0
TIC0,56.333878201589194
TIC1,105.91925386395928
TIC2,140.51519519546653
TIC3,186.62091153130075
TIC4,204.13068653562766
TIC5,206.13068653562766
Vabc,274.2297879534112
WPol,37
apol,47.50389499999999
bpol,17.898104999999997
nRot,3
ABCGG,14.306772001154652
ATS0Z,946.0
ATS0d,143.0
ATS0i,6128.823376396235
ATS0m,3745.079527999999
ATS0p,66.72039757273497
ATS0s,146.69444444444446
ATS0v,9882.927498079958
ATS1Z,1113.0
ATS1d,179.0
ATS1i,6044.598934965148
ATS1m,4274.513063000002
ATS1p,83.88365631600004
ATS1s,143.83333333333337
ATS1v,12359.68564219758
ATS2Z,1604.0
ATS2d,270.0
ATS2i,9648.846178214095
ATS2m,6080.333268999998
ATS2p,121.80996498999995
ATS2s,221.55555555555557
ATS2v,17575.454818129736
ATS3Z,1703.0
ATS3d,300.0
ATS3i,13328.807237554342
ATS3m,6302.697329
ATS3p,131.877127855641
ATS3s,264.61111111111114
ATS3v,18583.643373448493
ATS4Z,1557.0
ATS4d,278.0
ATS4i,13347.764501166388
ATS4m,5735.3417930000005
ATS4p,117.70552281903701
ATS4s,255.7777777777778
ATS4v,16515.11041703171
ATS5Z,1483.0
ATS5d,266.0
ATS5i,11730.512256637443
ATS5m,5479.342264999999
ATS5p,116.511276085943
ATS5s,227.55555555555554
ATS5v,16597.110688044413
ATS6Z,1514.0
ATS6d,266.0
ATS6i,11341.638731139445
ATS6m,5607.602898
ATS6p,126.356995614245
ATS6s,228.72222222222223
ATS6v,17663.739509113762
ATS7Z,1453.0
ATS7d,255.0
ATS7i,12572.913573595646
ATS7m,5251.812439
ATS7p,130.192872223943
ATS7s,238.4444444444445
ATS7v,17673.253492227348
ATS8Z,1189.0
ATS8d,211.0
ATS8i,12825.700934791588
ATS8m,4155.868023
ATS8p,113.71504998903698
ATS8s,235.83333333333337
ATS8v,14790.406830120786
C1SP1,0
C1SP2,2
C1SP3,0
C2SP1,0
C2SP2,16
C2SP3,0
C3SP2,2
C3SP3,0
C4SP3,0
FCSP3,0.0
GGI10,0.03295582083460871
JGI10,0.005492636805768118
JGT10,0.3311329646687634
Kier1,17.415637860082306
Kier2,8.131482834185537
Kier3,4.233236151603498
MID_C,42.04714804464365
MID_N,6.291526821323225
MID_O,1.7641745763276702
MID_X,0.0
MID_h,8.055701397650894
MPC10,140
MWC01,27.0
MWC02,4.859812404361672
MWC03,5.707110264748875
MWC04,6.580639137284949
MWC05,7.44600149832412
MWC06,8.328692583545568
MWC07,9.202610573914242
MWC08,10.090174566839723
MWC09,10.969042760448804
MWC10,11.859468251526351
NaaCH,13
NaaNH,0
NaaSe,0
NaaaC,2
NaasC,5
NaasN,0
NdCH2,0
NddsN,0
NdsCH,0
NdssC,0
NdssS,0
NsCH3,0
NsNH2,0
NsNH3,0
NsPH2,0
NsSeH,0
NssBH,0
NssBe,0
NssNH,1
NssPH,0
NssSe,0
NsssB,0
NsssN,0
NsssP,0
SLogP,4.746000000000003
SRW02,4.007333185232471
SRW03,0.0
SRW04,5.313205979041787
SRW05,0.0
SRW06,6.829793737512425
SRW07,0.0
SRW08,8.441391477999955
SRW09,0.0
SRW10,10.101723468144153
SaaCH,24.73525356269178
SaaNH,0
SaaSe,0
SaaaC,1.8004908352229785
SaasC,3.322895689267443
SaasN,0
SdCH2,0
SddsN,0
SdsCH,0
SdssC,0
SdssS,0
SsCH3,0
SsNH2,0
SsNH3,0
SsPH2,0
SsSeH,0
SssBH,0
SssBe,0
SssNH,3.286785478080121
SssPH,0
SssSe,0
SsssB,0
SsssN,0
SsssP,0
VE1_A,4.2096241851435465
VE1_D,4.824918297342778
VE2_A,0.17540100771431444
VE2_D,0.20103826238928243
VE3_A,2.312842113876832
VE3_D,2.4492625388082745
VR1_A,207.12173947144532
VR1_D,141.74991812281434
VR2_A,8.630072477976888
VR2_D,5.906246588450597
VR3_A,6.20877547113699
VR3_D,5.829533102344764
WPath,1313
Xc-3d,1.2955487099813654
Xc-4d,0.0
Xc-5d,0.21941609682128765
Xc-6d,0.0
Xp-0d,16.355160383312146
Xp-1d,11.79282633568371
Xp-2d,10.471550544081849
Xp-3d,8.781945342498432
Xp-4d,7.6617887119002095
Xp-5d,6.41864540742934
Xp-6d,4.335626293215012
Xp-7d,3.2810857974150083
ZMIC0,74.30548545552828
ZMIC1,60.160652769756155
ZMIC2,38.420505731688635
ZMIC3,25.08474388454836
ZMIC4,22.394276111054698
ZMIC5,22.22579394598484
nAcid,0
nAtom,39
nBase,0
nRing,4
piPC1,3.676300671907076
piPC2,4.324132656254979
piPC3,4.955827057601261
piPC4,5.593781579441872
piPC5,6.21785282858708
piPC6,6.521173257875474
piPC7,7.023174411709175
piPC8,7.515429671045179
piPC9,7.977659939515555
AATS0Z,24.256410256410255
AATS0d,3.6666666666666665
AATS0i,157.1493173434932
AATS0m,96.02768020512818
AATS0p,1.7107794249419221
AATS0s,3.7613960113960117
AATS0v,253.4083973866656
AATS1Z,26.5
AATS1d,4.261904761904762
AATS1i,143.91902226107496
AATS1m,101.7741205476191
AATS1p,1.9972299122857153
AATS1s,3.4246031746031753
AATS1v,294.2782295761329
AATS2Z,24.303030303030305
AATS2d,4.090909090909091
AATS2i,146.19463906384993
AATS2m,92.12626165151512
AATS2p,1.8456055301515144
AATS2s,3.3569023569023573
AATS2v,266.2947699716627
AATS3Z,19.802325581395348
AATS3d,3.488372093023256
AATS3i,154.98613066923653
AATS3m,73.28717824418604
AATS3p,1.533454975065593
AATS3s,3.07687338501292
AATS3v,216.0888764354476
AATS4Z,18.759036144578314
AATS4d,3.3493975903614457
AATS4i,160.816439773089
AATS4m,69.10050353012049
AATS4p,1.4181388291450243
AATS4s,3.0816599732262384
AATS4v,198.97723394014108
AATS5Z,20.04054054054054
AATS5d,3.5945945945945947
AATS5i,158.520435900506
AATS5m,74.04516574324323
AATS5p,1.5744767038640946
AATS5s,3.075075075075075
AATS5v,224.28527956816774
AATS6Z,20.186666666666667
AATS6d,3.546666666666667
AATS6i,151.22184974852593
AATS6m,74.76803864
AATS6p,1.6847599415232666
AATS6s,3.0496296296296297
AATS6v,235.51652678818348
AATS7Z,17.50602409638554
AATS7d,3.072289156626506
AATS7i,151.48088642886322
AATS7m,63.274848662650605
AATS7p,1.5685888219752169
AATS7s,2.872824631860777
AATS7v,212.93076496659455
AATS8Z,14.325301204819278
AATS8d,2.5421686746987953
AATS8i,154.52651728664563
AATS8m,50.07069907228916
AATS8p,1.3700608432414094
AATS8s,2.84136546184739
AATS8v,178.19767265205766
AMID_C,1.751964501860152
AMID_N,0.2621469508884677
AMID_O,0.07350727401365292
AMID_X,0.0
AMID_h,0.3356542249021206
ATS0dv,320.0
ATS0pe,242.2084
ATS0se,295.54390399999994
ATS1dv,357.0
ATS1pe,272.52000000000004
ATS1se,323.7477799999998
ATS2dv,503.0
ATS2pe,423.2957
ATS2se,505.56106000000017
ATS3dv,516.0
ATS3pe,540.0619999999999
ATS3se,656.96234
ATS4dv,462.0
ATS4pe,521.9397
ATS4se,637.6114759999999
ATS5dv,428.0
ATS5pe,471.72550000000007
ATS5se,572.3951
ATS6dv,413.0
ATS6pe,467.2631
ATS6se,567.1078960000001
ATS7dv,358.0
ATS7pe,504.9325
ATS7se,619.2167079999999
ATS8dv,267.0
ATS8pe,492.2746
ATS8se,612.8172439999998
ATSC0Z,256.3589743589743
ATSC0c,0.7388581303706462
ATSC0d,20.923076923076927
ATSC0i,62.4676444739266
ATSC0m,1227.2721023589745
ATSC0p,8.858345260657432
ATSC0s,31.018518518518512
ATSC0v,1935.6626408668349
ATSC1Z,5.433925049309656
ATSC1c,-0.45608230129566946
ATSC1d,6.159763313609469
ATSC1i,-1.1512694643584775
ATSC1m,29.189041382643385
ATSC1p,0.6326488582111018
ATSC1s,-6.287037037037037
ATSC1v,119.42706935829852
ATSC2Z,-16.915187376725843
ATSC2c,0.1700384010646601
ATSC2d,-1.1005917159763285
ATSC2i,-17.145170084218485
ATSC2m,-90.3796640177509
ATSC2p,-2.8935939314409076
ATSC2s,2.8333333333333326
ATSC2v,-521.163905067725
ATSC3Z,-9.996712689020388
ATSC3c,-0.21615405928255746
ATSC3d,1.272189349112427
ATSC3i,-34.00668315022343
ATSC3m,-49.63234368902014
ATSC3p,-2.1079920207169334
ATSC3s,-4.7253086419753085
ATSC3v,-311.69177485908443
ATSC4Z,30.646285338593028
ATSC4c,0.3834388641731486
ATSC4d,-0.04142011834319437
ATSC4i,-0.4520915020773182
ATSC4m,146.23161269756744
ATSC4p,0.6925570698609167
ATSC4s,3.6635802469135794
ATSC4v,184.85280417948042
ATSC5Z,-55.32215647600264
ATSC5c,-0.38107640883961713
ATSC5d,-3.0591715976331333
ATSC5i,29.309834087145248
ATSC5m,-247.7173930144639
ATSC5p,3.042171175800943
ATSC5s,-12.503086419753089
ATSC5v,365.78834049058753
ATSC6Z,-48.690335305719934
ATSC6c,0.212557553027008
ATSC6d,-10.544378698224847
ATSC6i,11.141587316663232
ATSC6m,-232.3075644852068
ATSC6p,-0.1408020992419875
ATSC6s,3.1111111111111107
ATSC6v,-174.5465992187552
ATSC7Z,-90.1742274819198
ATSC7c,-0.19253823243531215
ATSC7d,-12.426035502958579
ATSC7i,-5.372325938228197
ATSC7m,-434.32685309730425
ATSC7p,-2.8165161499782068
ATSC7s,-3.049382716049383
ATSC7v,-651.4078319942375
ATSC8Z,-55.61012491781721
ATSC8c,0.15514987545481299
ATSC8d,-6.887573964497044
ATSC8i,-15.498280355194114
ATSC8m,-276.46166499474043
ATSC8p,-3.543876311866007
ATSC8s,4.67283950617284
ATSC8v,-723.6031239016501
AXp-0d,0.6814650159713395
AXp-1d,0.43677134576606336
AXp-2d,0.28301487956977966
AXp-3d,0.17922337433670268
AXp-4d,0.11608770775606378
AXp-5d,0.07377753341872804
AXp-6d,0.04661963756145174
AXp-7d,0.0298280527037728
GATS1Z,0.7411482296459293
GATS1c,1.4946134305711243
GATS1d,0.69187675070028
GATS1i,1.026975255122021
GATS1m,0.7399305738562078
GATS1p,0.8166995854058805
GATS1s,0.9978038379530918
GATS1v,0.7698079347408789
GATS2Z,0.8321073305570206
GATS2c,0.6732300894853712
GATS2d,1.1007130124777182
GATS2i,1.176999821620826
GATS2m,0.8384855980957777
GATS2p,1.0819359296128743
GATS2s,0.6094436906377205
GATS2v,1.0107369673391813
GATS3Z,0.9609072977386177
GATS3c,1.1613141748610771
GATS3d,1.0242390560875512
GATS3i,1.2776808970975395
GATS3m,0.9600627808430559
GATS3p,1.0321815500699816
GATS3s,1.0032870531065605
GATS3v,0.9888968361365026
GATS4Z,0.9518843527741694
GATS4c,0.9506376265213241
GATS4d,1.094082211197732
GATS4i,1.103817502440911
GATS4m,0.9486502238195749
GATS4p,0.8772435904809327
GATS4s,0.8560762452796262
GATS4v,0.8779605284832557
GATS5Z,1.066652519693128
GATS5c,1.4659461729130825
GATS5d,1.1903318759936405
GATS5i,0.8741667719897814
GATS5m,1.0556795433802335
GATS5p,0.7088818696932174
GATS5s,1.1439088342073418
GATS5v,0.7804122688254196
GATS6Z,0.975351070214043
GATS6c,0.7219073110481149
GATS6d,1.3197549019607842
GATS6i,0.9110757298644583
GATS6m,0.9770934676032544
GATS6p,0.9427908246454741
GATS6s,0.609134328358209
GATS6v,0.9673422733205105
GATS7Z,1.076897307172278
GATS7c,0.8385757078996234
GATS7d,1.1816087880935504
GATS7i,0.9795063844111925
GATS7m,1.0809218470762278
GATS7p,1.1270007831410935
GATS7s,0.801751483546125
GATS7v,1.1306501386871322
GATS8Z,1.102792847726172
GATS8c,0.6761336392279921
GATS8d,0.9627923458540042
GATS8i,0.9913675963874606
GATS8m,1.1089310609687328
GATS8p,1.2236164092548116
GATS8s,0.966980758856321
GATS8v,1.2203390460326198
MATS1Z,0.019682507930157436
MATS1c,-0.5731885143468807
MATS1d,0.27337184873949577
MATS1i,-0.017113434325768763
MATS1m,0.02208484149783421
MATS1p,0.06631708708196896
MATS1s,-0.18820895522388062
MATS1v,0.05729126659926251
MATS2Z,-0.038989616105039204
MATS2c,0.13598989151320504
MATS2d,-0.03108288770053468
MATS2i,-0.1621837505362631
MATS2m,-0.043516156685012845
MATS2p,-0.19302148529723379
MATS2s,0.05397557666214382
MATS2v,-0.15909822448207672
MATS3Z,-0.01768376931200195
MATS3c,-0.13266870652986207
MATS3d,0.02757352941176472
MATS3i,-0.24687396990797233
MATS3m,-0.018339609202745268
MATS3p,-0.1079151739665945
MATS3s,-0.0690836515098924
MATS3v,-0.07302336295147595
MATS4Z,0.05617147525890721
MATS4c,0.2438493417098668
MATS4d,-0.0009301913536498733
MATS4i,-0.0034006170539907783
MATS4m,0.0559869645608295
MATS4p,0.03673579801287322
MATS4s,0.05549721273152311
MATS4v,0.044872771064728624
MATS5Z,-0.11373220590063964
MATS5c,-0.2718215562169285
MATS5d,-0.07705683624801264
MATS5i,0.24728121016394397
MATS5m,-0.10637719290804172
MATS5p,0.1809938970893865
MATS5s,-0.21243646631706342
MATS5v,0.09959397755570294
MATS6Z,-0.09876375275055016
MATS6c,0.14959560304032535
MATS6d,-0.26205882352941157
MATS6i,0.09274602001493885
MATS6m,-0.09842962559005013
MATS6p,-0.008265323765490667
MATS6s,0.05215522388059702
MATS6v,-0.046890521972933454
MATS7Z,-0.1652800439605994
MATS7c,-0.122445389917833
MATS7d,-0.27905740609496804
MATS7i,-0.040410454788887745
MATS7m,-0.16628854516202626
MATS7p,-0.14939847254230412
MATS7s,-0.04619313073188277
MATS7v,-0.1581283802785468
MATS8Z,-0.10192761443855036
MATS8c,0.09866812817111756
MATS8d,-0.15467753366406806
MATS8i,-0.11657754291163339
MATS8m,-0.10584749189971787
MATS8p,-0.18798035575820587
MATS8s,0.07078582988671105
MATS8v,-0.175653690863325
MAXaaN,4.692239229024943
MAXsOH,9.66419634831792
MINaaN,4.664805524061476
MINsOH,9.66419634831792
NddssS,0
NdssSe,0
NdsssP,0
NsAsH2,0
NsGeH3,0
NsPbH3,0
NsSiH3,0
NsSnH3,0
NssAsH,0
NssCH2,0
NssNH2,0
NsssAs,0
NsssCH,0
NsssNH,0
NssssB,0
NssssC,0
NssssN,0
Radius,6
SM1_Dt,0.0
SddssS,0
SdssSe,0
SdsssP,0
SpAD_A,32.1485773028144
SpAD_D,226.4297528144161
SsAsH2,0
SsGeH3,0
SsPbH3,0
SsSiH3,0
SsSnH3,0
SssAsH,0
SssCH2,0
SssNH2,0
SsssAs,0
SsssCH,0
SsssNH,0
SssssB,0
