DLiP-ID,J100A0
DLiP-Mol-ID,37062
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C18H19N3O2S/c1-11-14(15(21-23-11)12-8-6-5-7-9-12)16(22)20-17-19-13(10-24-17)18(2,3)4/h5-10H,1-4H3,(H,19,20,22)"
Standard Inchi Key(RDKit),AVBIJCXWANKDCU-UHFFFAOYSA-N
Canonical SMILES(RDKit),Cc1onc(-c2ccccc2)c1C(=O)Nc1nc(C(C)(C)C)cs1
SMILES(SDF),
MW(SDF),
MW(RDKit),341.436
MW Monoisotopic(RDKit),341.119797848
MolLogP(RDKit),4.65632
XLogP(SDF),
XLogP(CDK),3.596
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),5
HBA Lipinski(RDKit),5
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),1
PSA(SDF),
PSA(RDKit),68.02
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),3
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),24
QED Weighted(RDKit),0.752321387665256
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,GATA4/NKX2-5
Common Target Pref Name,GATA4/NKX2-5
RDKit Descriptors
Ipc,324617.07772877987
qed,0.7523213876652556
Chi0,17.319626477379405
Chi1,11.359191910946029
TPSA,68.02000000000001
Chi0n,14.083273677529261
Chi0v,14.899770258456988
Chi1n,7.650828012294076
Chi1v,8.53048082354897
Chi2n,6.570415385174268
Chi2v,7.428518237032287
Chi3n,3.630084192355907
Chi3v,4.387805259160565
Chi4n,2.267868477637463
Chi4v,3.2000629513081496
MolMR,95.44320000000003
MolWt,341.43600000000004
fr_SH,0
Kappa1,16.38996681362184
Kappa2,6.2030177080467555
Kappa3,3.2348770685730877
fr_ArN,0
fr_COO,0
fr_C_O,1
fr_C_S,0
fr_NH0,2
fr_NH1,1
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,860.0237730121073
MolLogP,4.656320000000004
NOCount,5
fr_Ar_N,2
fr_COO2,0
fr_urea,0
BalabanJ,1.8869063491284614
SMR_VSA1,9.31763212104517
SMR_VSA2,0.0
SMR_VSA3,10.140641778072654
SMR_VSA4,0.0
SMR_VSA5,33.10993926815928
SMR_VSA6,5.316788604006331
SMR_VSA7,52.729525018193854
SMR_VSA8,0.0
SMR_VSA9,11.257379486545457
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,1
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,144.27197330380716
NHOHCount,1
PEOE_VSA1,4.523094936973348
PEOE_VSA2,10.111325788078153
PEOE_VSA3,4.9839785209472085
PEOE_VSA4,0.0
PEOE_VSA5,11.336785877934737
PEOE_VSA6,56.25971019850536
PEOE_VSA7,6.923737199690624
PEOE_VSA8,16.35850473155969
PEOE_VSA9,5.693927994848461
RingCount,3
SMR_VSA10,22.375524087125577
fr_Al_COO,0
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,341.119797848
NumHDonors,1
PEOE_VSA10,17.0176269054199
PEOE_VSA11,5.131558479839333
PEOE_VSA12,0.0
PEOE_VSA13,5.907179729351506
PEOE_VSA14,0.0
SlogP_VSA1,5.316788604006331
SlogP_VSA2,16.04782150742416
SlogP_VSA3,5.41499046939678
SlogP_VSA4,6.923737199690624
SlogP_VSA5,42.58337568856359
SlogP_VSA6,40.23499304974731
SlogP_VSA7,0.0
SlogP_VSA8,11.257379486545457
SlogP_VSA9,0.0
fr_amidine,0
fr_aniline,1
fr_benzene,1
fr_epoxide,0
fr_guanido,0
fr_halogen,0
fr_hdrzine,0
fr_hdrzone,0
fr_isocyan,0
fr_lactone,0
fr_methoxy,0
fr_nitrile,0
fr_nitroso,0
fr_oxazole,0
fr_sulfide,0
fr_sulfone,0
EState_VSA1,0.0
EState_VSA2,11.322170198748285
EState_VSA3,22.14918538525923
EState_VSA4,11.257379486545457
EState_VSA5,11.336785877934737
EState_VSA6,6.923737199690624
EState_VSA7,35.711898112773966
EState_VSA8,36.22864198115086
EState_VSA9,4.523094936973348
SlogP_VSA10,5.131558479839333
SlogP_VSA11,0.0
SlogP_VSA12,11.336785877934737
VSA_EState1,0.0
VSA_EState2,0.0
VSA_EState3,0.0
VSA_EState4,0.0
VSA_EState5,0.0
VSA_EState6,0.0
VSA_EState7,0.0
VSA_EState8,5.240524376417233
VSA_EState9,47.094006571764496
fr_aldehyde,0
fr_barbitur,0
fr_bicyclic,0
fr_priamide,0
fr_pyridine,0
fr_thiazole,1
fr_thiocyan,0
EState_VSA10,4.794537184071822
EState_VSA11,0.0
FractionCSP3,0.2777777777777778
VSA_EState10,1.415469051818258
fr_C_O_noCOO,1
fr_Nhpyrrole,0
fr_imidazole,0
fr_phos_acid,0
fr_piperdine,0
fr_piperzine,0
fr_sulfonamd,0
fr_tetrazole,0
fr_thiophene,0
HallKierAlpha,-2.4699999999999993
NumHAcceptors,5
fr_morpholine,0
fr_nitro_arom,0
fr_phos_ester,0
HeavyAtomCount,24
HeavyAtomMolWt,322.28400000000005
MaxEStateIndex,12.704669312169312
MinEStateIndex,-0.26165532879818576
NumHeteroatoms,6
fr_aryl_methyl,1
fr_isothiocyan,0
fr_Al_OH_noTert,0
fr_alkyl_halide,0
fr_allylic_oxid,0
fr_prisulfonamd,0
FpDensityMorgan1,1.2083333333333333
FpDensityMorgan2,1.9166666666666667
FpDensityMorgan3,2.5416666666666665
MaxPartialCharge,0.2628382121089593
MinPartialCharge,-0.36021259847244
NumAromaticRings,3
fr_unbrch_alkane,0
MaxAbsEStateIndex,12.704669312169312
MinAbsEStateIndex,0.05378072776656828
NumAliphaticRings,0
NumRotatableBonds,3
NumSaturatedRings,0
fr_Ndealkylation1,0
fr_Ndealkylation2,0
fr_benzodiazepine,0
fr_ketone_Topliss,0
fr_term_acetylene,0
fr_alkyl_carbamate,0
fr_dihydropyridine,0
MaxAbsPartialCharge,0.36021259847244
MinAbsPartialCharge,0.2628382121089593
NumRadicalElectrons,0
NumValenceElectrons,124
fr_para_hydroxylation,0
NumAromaticCarbocycles,1
fr_nitro_arom_nonortho,0
fr_phenol_noOrthoHbond,0
NumAliphaticCarbocycles,0
NumAromaticHeterocycles,2
NumSaturatedCarbocycles,0
NumAliphaticHeterocycles,0
NumSaturatedHeterocycles,0
Mordred Descriptors
MW,341.11979784800053
MZ,0.6976744186046513
Mi,1.1199136273993278
Mm,0.6610781202502356
Mp,0.7037051524857263
Mv,0.652044367340563
SZ,30.000000000000004
Si,48.15628597817109
Sm,28.426359170760133
Sp,30.25932155688623
Sv,28.037907795644212
nB,0
nC,18
nF,0
nH,19
nI,0
nN,3
nO,2
nP,0
nS,1
nX,0
ABC,18.8569417632281
AMW,7.933018554604663
IC0,1.6466331202008604
IC1,3.638035615409515
IC2,4.161064103680981
IC3,4.431055742621371
IC4,4.541634521741452
IC5,4.541634521741452
MID,48.372666540542696
Mpe,0.9692658458732328
Mse,1.0037686952692289
NdO,1
NdS,0
NsF,0
NsI,0
NtN,0
SMR,95.44320000000003
SdO,12.704669312169312
SdS,0
Spe,41.678431372549014
SsF,0
SsI,0
Sse,43.16205389657684
StN,0
fMF,0.4186046511627907
nBr,0
nCl,0
AMID,2.015527772522612
BIC0,0.2874748581553809
BIC1,0.6351407363751431
BIC2,0.7264528438704193
BIC3,0.773588910280926
BIC4,0.7928941328302348
BIC5,0.7928941328302348
CIC0,3.7796316345012375
CIC1,1.788229139292583
CIC2,1.2652006510211171
CIC3,0.9952090120807267
CIC4,0.8846302329606459
CIC5,0.8846302329606459
GGI1,6.0
GGI2,3.1111111111111125
GGI3,2.0625
GGI4,1.5461111111111112
GGI5,0.7572222222222222
GGI6,0.4996825396825396
GGI7,0.32727465986394555
GGI8,0.2824467750062988
GGI9,0.21470679012345678
JGI1,0.23076923076923078
JGI2,0.08187134502923979
JGI3,0.05892857142857143
JGI4,0.04417460317460318
JGI5,0.025240740740740744
JGI6,0.01784580498866213
JGI7,0.013090986394557823
JGI8,0.014865619737173623
JGI9,0.01073533950617284
MIC0,17.9357365196364
MIC1,36.58484250340546
MIC2,39.37784235804644
MIC3,40.866692236756606
MIC4,40.97815564610965
MIC5,40.97815564610965
MPC2,38
MPC3,48
MPC4,62
MPC5,68
MPC6,71
MPC7,73
MPC8,78
MPC9,84
Mare,0.9809302325581397
NaaN,2
NaaO,1
NaaS,1
NdNH,0
NdSe,0
NddC,0
NdsN,0
NsBr,0
NsCl,0
NsLi,0
NsOH,0
NsSH,0
NssO,0
NssS,0
NtCH,0
NtsC,0
RNCG,0.20107213069951488
RPCG,0.1467173540351421
SIC0,0.3034560963458298
SIC1,0.6704493385172546
SIC2,0.7668376483243349
SIC3,0.8165940924245663
SIC4,0.8369725265996144
SIC5,0.8369725265996144
SaaN,8.539303193499622
SaaO,5.240524376417233
SaaS,1.415469051818258
Sare,42.18000000000001
SdNH,0
SdSe,0
SddC,0
SdsN,0
SsBr,0
SsCl,0
SsLi,0
SsOH,0
SsSH,0
SssO,0
SssS,0
StCH,0
StsC,0
TIC0,70.805224168637
TIC1,156.43553146260913
TIC2,178.92575645828217
TIC3,190.53539693271895
TIC4,195.29028443488244
TIC5,195.29028443488244
Vabc,298.10290472246845
WPol,35
apol,50.53306699999998
bpol,25.834932999999996
nRot,3
ABCGG,16.41438995086875
ATS0Z,1198.0
ATS0d,147.0
ATS0i,6907.686365315832
ATS0m,4744.427143000002
ATS0p,71.97425319213099
ATS0s,165.92704046639233
ATS0v,9973.39668603602
ATS1Z,1245.0
ATS1d,176.0
ATS1i,6538.774716369497
ATS1m,4760.034252000003
ATS1p,87.83154988000003
ATS1s,142.23765432098764
ATS1v,12373.940042450899
ATS2Z,1875.0
ATS2d,286.0
ATS2i,11526.518810287922
ATS2m,7146.841190999997
ATS2p,128.946922308188
ATS2s,219.29320987654324
ATS2v,17993.11167794345
ATS3Z,1848.0
ATS3d,283.0
ATS3i,13899.724523720124
ATS3m,6731.993901000001
ATS3p,140.47676181339605
ATS3s,277.20524691358014
ATS3v,19073.186246562233
ATS4Z,2099.0
ATS4d,291.0
ATS4i,18539.281827056126
ATS4m,7738.326394000003
ATS4p,143.71542216031906
ATS4s,342.3811728395062
ATS4v,18833.043877197746
ATS5Z,1722.0
ATS5d,263.0
ATS5i,13606.87706274326
ATS5m,6123.5857879999985
ATS5p,125.02079300418795
ATS5s,264.7160493827161
ATS5v,16347.492022637773
ATS6Z,1660.0
ATS6d,213.0
ATS6i,11198.327917995399
ATS6m,6133.205439999998
ATS6p,106.35128106454694
ATS6s,238.97839506172843
ATS6v,14713.9762038111
ATS7Z,1396.0
ATS7d,212.0
ATS7i,12431.25979167397
ATS7m,5031.365075000001
ATS7p,106.84363169043294
ATS7s,233.1481481481482
ATS7v,13995.41400952646
ATS8Z,1134.0
ATS8d,185.0
ATS8i,10789.592514996304
ATS8m,3939.661833
ATS8p,95.757743124792
ATS8s,202.5972222222223
ATS8v,12301.716546715816
C1SP1,0
C1SP2,2
C1SP3,4
C2SP1,0
C2SP2,8
C2SP3,0
C3SP2,2
C3SP3,0
C4SP3,1
FCSP3,0.2777777777777778
GGI10,0.09090909090909091
JGI10,0.00909090909090909
JGT10,0.5066131508598615
Kier1,18.781065088757398
Kier2,7.7091412742382275
Kier3,4.411458333333333
MAXdO,12.704669312169312
MID_C,36.44151065636101
MID_N,6.10439617644024
MID_O,3.801479249086845
MID_X,0.0
MID_h,11.931155884181688
MINdO,12.704669312169312
MPC10,80
MWC01,26.0
MWC02,4.859812404361672
MWC03,5.707110264748875
MWC04,6.6052979209482015
MWC05,7.473637108496206
MWC06,8.37216741936598
MWC07,9.248887781588422
MWC08,10.146786610053903
MWC09,11.028043703175827
MWC10,11.925293360594699
NaaCH,6
NaaNH,0
NaaSe,0
NaaaC,0
NaasC,6
NaasN,0
NdCH2,0
NddsN,0
NdsCH,0
NdssC,1
NdssS,0
NsCH3,4
NsNH2,0
NsNH3,0
NsPH2,0
NsSeH,0
NssBH,0
NssBe,0
NssNH,1
NssPH,0
NssSe,0
