DLiP-ID,J000D7
DLiP-Mol-ID,27222
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C19H21N3OS/c23-19(14-21-12-6-1-7-13-21)20-22-15-8-2-4-10-17(15)24-18-11-5-3-9-16(18)22/h2-5,8-11H,1,6-7,12-14H2,(H,20,23)"
Standard Inchi Key(RDKit),ALVVXSSFOOYRDP-UHFFFAOYSA-N
Canonical SMILES(RDKit),O=C(CN1CCCCC1)NN1c2ccccc2Sc2ccccc21
SMILES(SDF),
MW(SDF),
MW(RDKit),339.464
MW Monoisotopic(RDKit),339.140533292
MolLogP(RDKit),3.8064
XLogP(SDF),
XLogP(CDK),3.414
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),4
HBA Lipinski(RDKit),4
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),1
PSA(SDF),
PSA(RDKit),35.58
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),3
nRings(SDF),
nRings(RDKit),4
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),24
QED Weighted(RDKit),0.922371450515903
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,NCS-1/Ric8a
Common Target Pref Name,NCS-1/Ric8a
RDKit Descriptors
Ipc,536030.3348837135
qed,0.9223714505159026
Chi0,16.355160383312146
Chi1,11.809663088089318
TPSA,35.580000000000005
Chi0n,13.572366612563938
Chi0v,14.388863193491664
Chi1n,8.49013005596877
Chi1v,9.306626636896494
Chi2n,6.24470943476445
Chi2v,7.328486391251276
Chi3n,4.4846335685491
Chi3v,5.614901947383025
Chi4n,3.305743586007361
Chi4v,4.363679910447003
MolMR,97.57970000000005
MolWt,339.4640000000001
fr_SH,0
Kappa1,15.542043755882583
Kappa2,6.869554517431664
Kappa3,3.140803649596924
fr_ArN,0
fr_COO,0
fr_C_O,1
fr_C_S,0
fr_NH0,2
fr_NH1,1
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,697.3966886789398
MolLogP,3.8064000000000027
NOCount,4
fr_Ar_N,0
fr_COO2,0
fr_urea,0
BalabanJ,1.5639727019717609
SMR_VSA1,4.794537184071822
SMR_VSA2,0.0
SMR_VSA3,10.325701127960862
SMR_VSA4,0.0
SMR_VSA5,29.05343181981358
SMR_VSA6,24.643181741692256
SMR_VSA7,48.53093654769288
SMR_VSA8,0.0
SMR_VSA9,0.0
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,1
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,146.3557274889376
NHOHCount,1
PEOE_VSA1,0.0
PEOE_VSA2,20.129150835987215
PEOE_VSA3,0.0
PEOE_VSA4,0.0
PEOE_VSA5,0.0
PEOE_VSA6,42.44817484616356
PEOE_VSA7,50.19662433152361
PEOE_VSA8,9.79096695103555
PEOE_VSA9,17.9195289552797
RingCount,4
SMR_VSA10,29.043837228109744
fr_Al_COO,0
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,339.140533292
NumHDonors,1
PEOE_VSA10,0.0
PEOE_VSA11,0.0
PEOE_VSA12,0.0
PEOE_VSA13,5.907179729351506
PEOE_VSA14,0.0
SlogP_VSA1,10.434703921064916
SlogP_VSA2,30.44135867793971
SlogP_VSA3,4.794537184071822
SlogP_VSA4,0.0
SlogP_VSA5,19.26246486877803
SlogP_VSA6,58.32190349872843
SlogP_VSA7,0.0
SlogP_VSA8,0.0
SlogP_VSA9,0.0
fr_amidine,0
fr_aniline,2
fr_benzene,2
fr_epoxide,0
fr_guanido,0
fr_halogen,0
fr_hdrzine,1
fr_hdrzone,0
fr_isocyan,0
fr_lactone,0
fr_methoxy,0
fr_nitrile,0
fr_nitroso,0
fr_oxazole,0
fr_sulfide,0
fr_sulfone,0
EState_VSA1,0.0
EState_VSA2,5.907179729351506
EState_VSA3,6.544756405912575
EState_VSA4,34.255252312227825
EState_VSA5,19.26246486877803
EState_VSA6,11.761884949391115
EState_VSA7,29.27438079780097
EState_VSA8,34.5911694018073
EState_VSA9,0.0
SlogP_VSA10,11.374772549367124
SlogP_VSA11,0.0
SlogP_VSA12,11.761884949391115
VSA_EState1,0.0
VSA_EState2,0.0
VSA_EState3,0.0
VSA_EState4,0.0
VSA_EState5,0.0
VSA_EState6,0.0
VSA_EState7,0.0
VSA_EState8,0.0
VSA_EState9,46.92104538587447
fr_aldehyde,0
fr_barbitur,0
fr_bicyclic,2
fr_priamide,0
fr_pyridine,0
fr_thiazole,0
fr_thiocyan,0
EState_VSA10,4.794537184071822
EState_VSA11,0.0
FractionCSP3,0.3157894736842105
VSA_EState10,1.745621280792186
fr_C_O_noCOO,1
fr_Nhpyrrole,0
fr_imidazole,0
fr_phos_acid,0
fr_piperdine,1
fr_piperzine,0
fr_sulfonamd,0
fr_tetrazole,0
fr_thiophene,0
HallKierAlpha,-1.979999999999999
NumHAcceptors,4
fr_morpholine,0
fr_nitro_arom,0
fr_phos_ester,0
HeavyAtomCount,24
HeavyAtomMolWt,318.2960000000001
MaxEStateIndex,12.597841080876794
MinEStateIndex,0.04945011337868488
NumHeteroatoms,5
fr_aryl_methyl,0
fr_isothiocyan,0
fr_Al_OH_noTert,0
fr_alkyl_halide,0
fr_allylic_oxid,0
fr_prisulfonamd,0
FpDensityMorgan1,0.9166666666666666
FpDensityMorgan2,1.5
FpDensityMorgan3,2.125
MaxPartialCharge,0.25248266176349793
MinPartialCharge,-0.2944607434581983
NumAromaticRings,2
fr_unbrch_alkane,0
MaxAbsEStateIndex,12.597841080876794
MinAbsEStateIndex,0.04945011337868488
NumAliphaticRings,2
NumRotatableBonds,3
NumSaturatedRings,1
fr_Ndealkylation1,0
fr_Ndealkylation2,1
fr_benzodiazepine,0
fr_ketone_Topliss,0
fr_term_acetylene,0
fr_alkyl_carbamate,0
fr_dihydropyridine,0
MaxAbsPartialCharge,0.2944607434581983
MinAbsPartialCharge,0.25248266176349793
NumRadicalElectrons,0
NumValenceElectrons,124
fr_para_hydroxylation,2
NumAromaticCarbocycles,2
fr_nitro_arom_nonortho,0
fr_phenol_noOrthoHbond,0
NumAliphaticCarbocycles,0
NumAromaticHeterocycles,0
NumSaturatedCarbocycles,0
NumAliphaticHeterocycles,2
NumSaturatedHeterocycles,1
Mordred Descriptors
MW,339.14053329200055
MZ,0.6666666666666667
Mi,1.1191597677977791
Mm,0.6280483630745889
Mp,0.7017252561543581
Mv,0.6414430332225162
SZ,30.000000000000004
Si,50.36218955090006
Sm,28.2621763383565
Sp,31.577636526946115
Sv,28.86493649501323
nB,0
nC,19
nF,0
nH,21
nI,0
nN,3
nO,1
nP,0
nS,1
nX,0
ABC,19.039512433698444
AMW,7.53645629537779
IC0,1.5428714044197736
IC1,3.2301989294226234
IC2,3.947191429566855
IC3,4.425186429663008
IC4,4.514075318551898
IC5,4.514075318551898
MID,50.11573468684908
Mpe,0.9567755991285402
Mse,0.9937606215100756
NdO,1
NdS,0
NsF,0
NsI,0
NtN,0
SMR,97.57970000000005
SdO,12.597841080876794
SdS,0
Spe,43.054901960784306
SsF,0
SsI,0
Sse,44.7192279679534
StN,0
fMF,0.5111111111111111
nBr,0
nCl,0
AMID,2.088155611952045
BIC0,0.2668699892190496
BIC1,0.5587265088982506
BIC2,0.6827444796996402
BIC3,0.7654231269005665
BIC4,0.7807982104956845
BIC5,0.7807982104956845
CIC0,3.9489816919099012
CIC1,2.2616541669070513
CIC2,1.5446616667628197
CIC3,1.0666666666666664
CIC4,0.977777777777777
CIC5,0.977777777777777
GGI1,3.5
GGI2,2.000000000000001
GGI3,1.5
GGI4,1.4311111111111112
GGI5,0.638888888888889
GGI6,0.4440816326530612
GGI7,0.2743055555555555
GGI8,0.08264046359284455
GGI9,0.05374999999999999
JGI1,0.12962962962962962
JGI2,0.05405405405405408
JGI3,0.039473684210526314
JGI4,0.04088888888888889
JGI5,0.018790849673202614
JGI6,0.014802721088435375
JGI7,0.011429398148148147
JGI8,0.0037563847087656605
JGI9,0.002986111111111111
MIC0,16.33984100286278
MIC1,30.6508835398944
MIC2,34.981345917513224
