DLiP-ID,C0007A
DLiP-Mol-ID,30392
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C9H13N3O4/c10-7-1-2-12(9(15)11-7)8-3-5(14)6(4-13)16-8/h1-2,5-6,8,13-14H,3-4H2,(H2,10,11,15)/t5-,6+,8+/m0/s1"
Standard Inchi Key(RDKit),CKTSBUTUHBMZGZ-SHYZEUOFSA-N
Canonical SMILES(RDKit),Nc1ccn([C@H]2C[C@H](O)[C@@H](CO)O2)c(=O)n1
SMILES(SDF),
MW(SDF),
MW(RDKit),227.22
MW Monoisotopic(RDKit),227.090605896
MolLogP(RDKit),-1.5338
XLogP(SDF),
XLogP(CDK),-0.384
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),7
HBA Lipinski(RDKit),7
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),3
HBD Lipinski(RDKit),4
PSA(SDF),
PSA(RDKit),110.6
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),2
nRings(SDF),
nRings(RDKit),2
Aromatic Rings(RDKit),1
nAtoms(SDF),
Heavy Atoms(RDKit),16
QED Weighted(RDKit),0.564767295381363
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Menin/Histone-lysine N-methyltransferase MLL
Common Target Pref Name,MENIN/MLL
RDKit Descriptors
Ipc,5282.560742281935
qed,0.5647672953813633
Chi0,11.706742302257043
Chi1,7.613392202930193
TPSA,110.60000000000001
Chi0n,8.483666140438409
Chi0v,8.483666140438409
Chi1n,4.905935301779104
Chi1v,4.905935301779104
Chi2n,3.65705974737756
Chi2v,3.65705974737756
Chi3n,2.545885251819509
Chi3v,2.545885251819509
Chi4n,1.695265374766257
Chi4v,1.695265374766257
MolMR,54.52900000000002
MolWt,227.21999999999997
fr_SH,0
Kappa1,11.05761764725319
Kappa2,4.203013429907953
Kappa3,1.9208632519167
fr_ArN,1
fr_COO,0
fr_C_O,0
fr_C_S,0
fr_NH0,2
fr_NH1,0
fr_NH2,1
fr_N_O,0
fr_azo,0
BertzCT,433.0074288999408
MolLogP,-1.5338000000000005
NOCount,7
fr_Ar_N,2
fr_COO2,0
fr_urea,0
BalabanJ,2.2326555210648866
SMR_VSA1,14.94991774348146
SMR_VSA2,0.0
SMR_VSA3,9.551078168738563
SMR_VSA4,0.0
SMR_VSA5,24.856655569157482
SMR_VSA6,12.340549441675103
SMR_VSA7,22.74749122234998
SMR_VSA8,0.0
SMR_VSA9,0.0
fr_Al_OH,2
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,0
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,1
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,91.10297551739451
NHOHCount,4
PEOE_VSA1,20.683585220643643
PEOE_VSA2,4.567099647791355
PEOE_VSA3,4.794537184071822
PEOE_VSA4,4.9839785209472085
PEOE_VSA5,0.0
PEOE_VSA6,0.0
PEOE_VSA7,6.06636706846161
PEOE_VSA8,12.617665194539086
PEOE_VSA9,12.71084835226122
RingCount,2
SMR_VSA10,5.817862777835028
fr_Al_COO,0
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,227.090605896
NumHDonors,3
PEOE_VSA10,18.1497303363182
PEOE_VSA11,0.0
PEOE_VSA12,0.0
PEOE_VSA13,0.0
PEOE_VSA14,5.689743398203474
SlogP_VSA1,11.423410875365658
SlogP_VSA2,38.5789476984295
SlogP_VSA3,4.736862953800049
SlogP_VSA4,0.0
SlogP_VSA5,12.64872279366088
SlogP_VSA6,17.057747824146507
SlogP_VSA7,0.0
SlogP_VSA8,0.0
SlogP_VSA9,0.0
fr_amidine,0
fr_aniline,1
fr_benzene,0
fr_epoxide,0
fr_guanido,0
fr_halogen,0
fr_hdrzine,0
fr_hdrzone,0
fr_isocyan,0
fr_lactone,0
fr_methoxy,0
fr_nitrile,0
fr_nitroso,0
fr_oxazole,0
fr_sulfide,0
fr_sulfone,0
EState_VSA1,24.12557734443495
EState_VSA2,18.845566365273957
EState_VSA3,0.0
EState_VSA4,0.0
EState_VSA5,16.83031028786604
EState_VSA6,0.0
EState_VSA7,0.0
EState_VSA8,4.9839785209472085
EState_VSA9,15.577057825802939
SlogP_VSA10,5.817862777835028
SlogP_VSA11,0.0
SlogP_VSA12,0.0
VSA_EState1,0.0
VSA_EState2,0.0
VSA_EState3,0.0
VSA_EState4,0.0
VSA_EState5,0.0
VSA_EState6,0.0
VSA_EState7,0.0
VSA_EState8,1.2452777777777777
VSA_EState9,44.588055555555556
fr_aldehyde,0
fr_barbitur,0
fr_bicyclic,0
fr_priamide,0
fr_pyridine,0
fr_thiazole,0
fr_thiocyan,0
EState_VSA10,9.901064578912528
EState_VSA11,0.0
FractionCSP3,0.5555555555555556
VSA_EState10,0.0
fr_C_O_noCOO,0
fr_Nhpyrrole,0
fr_imidazole,0
fr_phos_acid,0
fr_piperdine,0
fr_piperzine,0
fr_sulfonamd,0
fr_tetrazole,0
fr_thiophene,0
HallKierAlpha,-1.44
NumHAcceptors,7
fr_morpholine,0
fr_nitro_arom,0
fr_phos_ester,0
HeavyAtomCount,16
HeavyAtomMolWt,214.11599999999996
MaxEStateIndex,11.476426209372638
MinEStateIndex,-0.7782842025699173
NumHeteroatoms,7
fr_aryl_methyl,0
fr_isothiocyan,0
fr_Al_OH_noTert,2
fr_alkyl_halide,0
fr_allylic_oxid,0
fr_prisulfonamd,0
FpDensityMorgan1,1.6875
FpDensityMorgan2,2.4375
FpDensityMorgan3,3.0
MaxPartialCharge,0.35112032150063993
MinPartialCharge,-0.39356883597881065
NumAromaticRings,1
fr_unbrch_alkane,0
MaxAbsEStateIndex,11.476426209372638
MinAbsEStateIndex,0.13750333312337304
NumAliphaticRings,1
NumRotatableBonds,2
NumSaturatedRings,1
fr_Ndealkylation1,0
fr_Ndealkylation2,0
fr_benzodiazepine,0
fr_ketone_Topliss,0
fr_term_acetylene,0
fr_alkyl_carbamate,0
fr_dihydropyridine,0
MaxAbsPartialCharge,0.39356883597881065
MinAbsPartialCharge,0.35112032150063993
NumRadicalElectrons,0
NumValenceElectrons,88
fr_para_hydroxylation,0
NumAromaticCarbocycles,0
fr_nitro_arom_nonortho,0
fr_phenol_noOrthoHbond,0
NumAliphaticCarbocycles,0
NumAromaticHeterocycles,1
NumSaturatedCarbocycles,0
NumAliphaticHeterocycles,1
NumSaturatedHeterocycles,1
Mordred Descriptors
MW,227.090605896
MZ,0.6896551724137933
Mi,1.152039371156584
Mm,0.652333062508792
Mp,0.6237106958496802
Mv,0.6087919944973573
SZ,20.000000000000004
Si,33.40914176354094
Sm,18.91765881275497
Sp,18.087610179640727
Sv,17.654967840423364
nB,0
nC,9
nF,0
nH,13
nI,0
nN,3
nO,4
nP,0
nS,0
nX,0
ABC,12.227664335835204
AMW,7.830710548137931
IC0,1.7755696554386589
IC1,3.8355160139412536
IC2,4.513153408920675
IC3,4.651084443403433
IC4,4.651084443403433
IC5,4.651084443403433
MID,31.95931289157082
Mpe,1.0064908722109533
Mse,1.0373458572971344
NdO,1
NdS,0
NsF,0
NsI,0
NtN,0
SMR,54.52900000000002
SdO,11.476426209372638
SdS,0
Spe,29.18823529411765
SsF,0
SsI,0
Sse,30.083029861616897
StN,0
fMF,0.3793103448275862
nBr,0
nCl,0
AMID,1.9974570557231763
BIC0,0.35198868554395907
BIC1,0.7603521697922079
BIC2,0.8946869142521835
BIC3,0.9220303436550192
BIC4,0.9220303436550192
BIC5,0.9220303436550192
CIC0,3.082411339688913
CIC1,1.0224649811863182
CIC2,0.3448275862068968
CIC3,0.2068965517241388
CIC4,0.2068965517241388
CIC5,0.2068965517241388
GGI1,4.0
GGI2,2.222222222222223
GGI3,1.6041666666666667
GGI4,0.8683333333333335
GGI5,0.6427777777777779
GGI6,0.18770975056689346
GGI7,0.1744968820861678
GGI8,0.045099521289997474
GGI9,0.0
JGI1,0.23529411764705882
JGI2,0.09259259259259264
JGI3,0.0697463768115942
JGI4,0.04570175438596492
JGI5,0.04591269841269841
JGI6,0.015642479213907788
JGI7,0.024928126012309683
JGI8,0.01503317376333249
JGI9,0.0
MIC0,17.864843023194823
MIC1,35.239784323546495
MIC2,37.715532472858165
MIC3,37.85456695561679
MIC4,37.85456695561679
MIC5,37.85456695561679
MPC2,24
MPC3,31
MPC4,39
MPC5,43
MPC6,45
MPC7,39
MPC8,35
MPC9,32
Mare,1.024965517241379
NaaN,1
NaaO,0
NaaS,0
NdNH,0
NdSe,0
NddC,0
NdsN,0
NsBr,0
NsCl,0
NsLi,0
NsOH,2
NsSH,0
NssO,1
NssS,0
NtCH,0
NtsC,0
RNCG,0.17779703359106075
RPCG,0.1586206678206462
SIC0,0.36549538938491294
SIC1,0.7895288223210787
SIC2,0.9290183336343328
SIC3,0.9574110001805995
SIC4,0.9574110001805995
SIC5,0.9574110001805995
SaaN,3.5551053476946333
SaaO,0
SaaS,0
Sare,29.723999999999993
SdNH,0
SdSe,0
SddC,0
SdsN,0
SsBr,0
SsCl,0
SsLi,0
SsOH,18.427210936843874
SsSH,0
SssO,5.311740362811792
SssS,0
StCH,0
StsC,0
TIC0,51.49152000772111
TIC1,111.22996440429635
TIC2,130.88144885869957
TIC3,134.88144885869957
TIC4,134.88144885869957
TIC5,134.88144885869957
Vabc,188.84922082287008
WPol,23
apol,30.206308999999976
bpol,17.925690999999997
nRot,2
ABCGG,11.02703169994991
ATS0Z,740.0
ATS0d,95.0
ATS0i,4920.604012765238
ATS0m,2924.0460719999996
ATS0p,37.08288376303701
ATS0s,198.63888888888889
ATS0v,5811.246420868538
ATS1Z,792.0
ATS1d,121.0
ATS1i,4653.186479616
ATS1m,3005.2890209999982
ATS1p,47.010479361999984
ATS1s,113.77777777777779
ATS1v,7351.400366054266
ATS2Z,1211.0
ATS2d,189.0
ATS2i,8364.263366553296
ATS2m,4518.848256000001
ATS2p,71.06916082454704
ATS2s,202.05555555555554
ATS2v,10829.583628886307
ATS3Z,1274.0
ATS3d,199.0
ATS3i,11650.715148709189
ATS3m,4589.793963
ATS3p,78.70237412733898
ATS3s,265.58333333333337
ATS3v,11626.33106503982
ATS4Z,1137.0
ATS4d,170.0
ATS4i,11458.210035300886
ATS4m,4038.609831
ATS4p,71.00532395703699
ATS4s,301.00000000000006
ATS4v,10162.486997000533
ATS5Z,826.0
ATS5d,139.0
ATS5i,10121.339811140284
ATS5m,2847.709094000001
ATS5p,58.082879238734996
ATS5s,204.66666666666669
ATS5v,8177.729819558305
ATS6Z,710.0
ATS6d,100.0
ATS6i,7024.673304803643
ATS6m,2536.6804919999995
ATS6p,44.603925046792
ATS6s,201.61111111111114
ATS6v,6362.420911147269
ATS7Z,494.0
ATS7d,67.0
ATS7i,6254.319681890794
ATS7m,1656.8017990000003
ATS7p,32.32545483594299
ATS7s,176.66666666666669
ATS7v,4490.72404167423
ATS8Z,239.0
ATS8d,43.0
ATS8i,4182.541297658393
ATS8m,764.0964269999997
ATS8p,19.793750590791994
ATS8s,84.33333333333333
ATS8v,2444.6864885139785
C1SP1,0
C1SP2,2
C1SP3,2
C2SP1,0
C2SP2,1
C2SP3,3
C3SP2,0
C3SP3,0
C4SP3,0
FCSP3,0.5555555555555556
GGI10,0.0
JGI10,0.0
JGT10,0.544851318839459
Kier1,12.456747404844291
Kier2,5.104166666666667
Kier3,2.651404786680541
MAXdO,11.476426209372638
MID_C,18.677548561797646
MID_N,5.9698177894663536
MID_O,7.31194654030682
MID_X,0.0
MID_h,13.281764329773175
MINdO,11.476426209372638
MPC10,18
MWC01,17.0
MWC02,4.418840607796598
MWC03,5.262690188904886
MWC04,6.142037405587356
MWC05,7.005789019253503
MWC06,7.890208213109961
MWC07,8.760139370026627
MWC08,9.646076003102594
MWC09,10.518538047359652
MWC10,11.404794448349735
NaaCH,2
NaaNH,0
NaaSe,0
NaaaC,0
NaasC,1
NaasN,1
NdCH2,0
