DLiP-ID,I000B6
DLiP-Mol-ID,28143
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C27H28N4O2/c1-17-16-31(13-11-18-15-29-22-5-3-2-4-20(18)22)24-8-6-19(14-26(24)33-17)30-23-10-12-28-27-21(23)7-9-25(27)32/h2-6,8,10,12,14-15,17,25,29,32H,7,9,11,13,16H2,1H3,(H,28,30)/t17-,25-/m1/s1"
Standard Inchi Key(RDKit),FMEUIQVOTSTQBR-CRICUBBOSA-N
Canonical SMILES(RDKit),C[C@@H]1CN(CCc2c[nH]c3ccccc23)c2ccc(Nc3ccnc4c3CC[C@H]4O)cc2O1
SMILES(SDF),
MW(SDF),
MW(RDKit),440.547
MW Monoisotopic(RDKit),440.221226136
MolLogP(RDKit),5.11610000000001
XLogP(SDF),
XLogP(CDK),4.037
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),5
HBA Lipinski(RDKit),6
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),3
HBD Lipinski(RDKit),3
PSA(SDF),
PSA(RDKit),73.41
RO3 Pass,
Num RO5 Violations,1
Num Lipinski RO5 Violations,1
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),5
nRings(SDF),
nRings(RDKit),6
Aromatic Rings(RDKit),4
nAtoms(SDF),
Heavy Atoms(RDKit),33
QED Weighted(RDKit),0.401901888625554
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,MDM2-Like_P53
Common Target Pref Name,P53/HDM2
RDKit Descriptors
Ipc,78087165.23965822
qed,0.4019018886255544
Chi0,22.363232072819915
Chi1,16.15299968098985
TPSA,73.41000000000001
Chi0n,18.713626213171988
Chi0v,18.713626213171988
Chi1n,11.6902649565741
Chi1v,11.6902649565741
Chi2n,9.068264259338155
Chi2v,9.068264259338155
Chi3n,6.78366978954503
Chi3v,6.78366978954503
Chi4n,5.164723304580713
Chi4v,5.164723304580713
MolMR,131.5482
MolWt,440.5470000000002
fr_SH,0
Kappa1,20.12209904232666
Kappa2,8.120750083706744
Kappa3,3.701688511443006
fr_ArN,0
fr_COO,0
fr_C_O,0
fr_C_S,0
fr_NH0,2
fr_NH1,2
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,1314.727800091782
MolLogP,5.116100000000006
NOCount,6
fr_Ar_N,2
fr_COO2,0
fr_urea,0
BalabanJ,1.2285534524458666
SMR_VSA1,9.843390348640755
SMR_VSA2,0.0
SMR_VSA3,9.967957041894417
SMR_VSA4,0.0
SMR_VSA5,38.394134843965254
SMR_VSA6,23.30621114668196
SMR_VSA7,77.74545466916149
SMR_VSA8,0.0
SMR_VSA9,5.749511833283905
fr_Al_OH,1
fr_Ar_NH,1
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,0
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,1
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,192.78141390894976
NHOHCount,3
PEOE_VSA1,25.044067204444772
PEOE_VSA2,4.9839785209472085
PEOE_VSA3,0.0
PEOE_VSA4,0.0
PEOE_VSA5,0.0
PEOE_VSA6,18.19910120538483
PEOE_VSA7,61.57857332570909
PEOE_VSA8,47.28250809904852
PEOE_VSA9,24.0300370631929
RingCount,6
SMR_VSA10,27.96508375613174
fr_Al_COO,0
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,440.221226136
NumHDonors,3
PEOE_VSA10,11.853478221032208
PEOE_VSA11,0.0
PEOE_VSA12,0.0
PEOE_VSA13,0.0
PEOE_VSA14,0.0
SlogP_VSA1,14.953561288656857
SlogP_VSA2,34.26796363630857
SlogP_VSA3,12.841643245852019
SlogP_VSA4,0.0
SlogP_VSA5,36.26935618860739
SlogP_VSA6,60.92462369091903
SlogP_VSA7,0.0
SlogP_VSA8,10.902924932081056
SlogP_VSA9,0.0
fr_amidine,0
fr_aniline,3
fr_benzene,2
fr_epoxide,0
fr_guanido,0
fr_halogen,0
fr_hdrzine,0
fr_hdrzone,0
fr_isocyan,0
fr_lactone,0
fr_methoxy,0
fr_nitrile,0
fr_nitroso,0
fr_oxazole,0
fr_sulfide,0
fr_sulfone,0
EState_VSA1,6.103966387748303
EState_VSA2,6.103966387748303
EState_VSA3,0.0
EState_VSA4,66.42102782448322
EState_VSA5,16.466376423778055
EState_VSA6,6.196843571613076
EState_VSA7,6.06636706846161
EState_VSA8,75.76980562728619
EState_VSA9,4.736862953800049
SlogP_VSA10,17.062158824050687
SlogP_VSA11,5.749511833283905
SlogP_VSA12,0.0
VSA_EState1,0.0
VSA_EState2,0.0
VSA_EState3,0.0
VSA_EState4,0.0
VSA_EState5,0.0
VSA_EState6,0.0
VSA_EState7,0.0
VSA_EState8,0.0
VSA_EState9,66.66666666666667
fr_aldehyde,0
fr_barbitur,0
fr_bicyclic,3
fr_priamide,0
fr_pyridine,1
fr_thiazole,0
fr_thiocyan,0
EState_VSA10,5.106527394840706
EState_VSA11,0.0
FractionCSP3,0.2962962962962963
VSA_EState10,0.0
fr_C_O_noCOO,0
fr_Nhpyrrole,1
fr_imidazole,0
fr_phos_acid,0
fr_piperdine,0
fr_piperzine,0
fr_sulfonamd,0
fr_tetrazole,0
fr_thiophene,0
HallKierAlpha,-3.5099999999999993
NumHAcceptors,5
fr_morpholine,0
fr_nitro_arom,0
fr_phos_ester,0
HeavyAtomCount,33
HeavyAtomMolWt,412.32300000000026
MaxEStateIndex,10.147975033952445
MinEStateIndex,-0.45817448087729584
NumHeteroatoms,6
fr_aryl_methyl,0
fr_isothiocyan,0
fr_Al_OH_noTert,1
fr_alkyl_halide,0
fr_allylic_oxid,0
fr_prisulfonamd,0
FpDensityMorgan1,1.2121212121212122
FpDensityMorgan2,2.121212121212121
FpDensityMorgan3,3.0606060606060606
MaxPartialCharge,0.1446715971774116
MinPartialCharge,-0.48662003999026304
NumAromaticRings,4
fr_unbrch_alkane,0
MaxAbsEStateIndex,10.147975033952445
MinAbsEStateIndex,0.12133196203948327
NumAliphaticRings,2
NumRotatableBonds,5
NumSaturatedRings,0
fr_Ndealkylation1,0
fr_Ndealkylation2,0
fr_benzodiazepine,0
fr_ketone_Topliss,0
fr_term_acetylene,0
fr_alkyl_carbamate,0
fr_dihydropyridine,0
MaxAbsPartialCharge,0.48662003999026304
MinAbsPartialCharge,0.1446715971774116
NumRadicalElectrons,0
NumValenceElectrons,168
fr_para_hydroxylation,1
NumAromaticCarbocycles,2
fr_nitro_arom_nonortho,0
fr_phenol_noOrthoHbond,0
NumAliphaticCarbocycles,1
NumAromaticHeterocycles,2
NumSaturatedCarbocycles,0
NumAliphaticHeterocycles,1
NumSaturatedHeterocycles,0
Mordred Descriptors
MW,440.2212261360008
MZ,0.6393442622950819
Mi,1.121242298672123
Mm,0.6012889823672564
Mp,0.684835614017866
Mv,0.6401154381316885
SZ,38.99999999999999
Si,68.3957802189995
Sm,36.67862792440264
Sp,41.774972455089824
Sv,39.047041726032994
nB,0
nC,27
nF,0
nH,28
nI,0
nN,4
nO,2
nP,0
nS,0
nX,0
ABC,26.805756482931997
AMW,7.216741412065587
IC0,1.4555258559886803
IC1,3.736923568989093
IC2,5.020741026016542
IC3,5.57811807519687
IC4,5.688853935888073
IC5,5.688853935888073
MID,69.49455197434312
Mpe,0.9610414657666344
Mse,0.9957971654746698
NdO,0
NdS,0
NsF,0
NsI,0
NtN,0
SMR,131.5482
SdO,0
SdS,0
Spe,58.6235294117647
SsF,0
SsI,0
Sse,60.743627093954856
StN,0
fMF,0.5081967213114754
nBr,0
nCl,0
AMID,2.105895514374034
BIC0,0.2329613864528428
BIC1,0.5981061017350798
BIC2,0.8035850312305125
BIC3,0.8927949409135277
BIC4,0.9105185557366725
BIC5,0.9105185557366725
CIC0,4.475211481574206
CIC1,2.1938137685737935
CIC2,0.9099963115463447
CIC3,0.3526192623660167
CIC4,0.24188340167481392
CIC5,0.24188340167481392
GGI1,6.0
GGI2,4.000000000000002
GGI3,2.6111111111111107
GGI4,1.5733333333333333
GGI5,0.7916666666666666
GGI6,0.6915646258503401
GGI7,0.48093820861678
GGI8,0.4384212018140589
GGI9,0.22780864197530865
JGI1,0.15789473684210523
JGI2,0.07272727272727275
JGI3,0.047474747474747475
JGI4,0.03277777777777778
JGI5,0.019308943089430895
JGI6,0.016082898275589303
JGI7,0.010687515747039557
JGI8,0.009964118223046794
JGI9,0.006328017832647463
MIC0,12.967803348230436
MIC1,33.34038230900412
MIC2,40.69656822066639
MIC3,42.476830961425485
MIC4,42.588452709002226
MIC5,42.588452709002226
MPC2,55
MPC3,77
MPC4,106
MPC5,131
MPC6,143
MPC7,166
MPC8,202
MPC9,223
Mare,0.9729836065573773
NaaN,1
NaaO,0
NaaS,0
NdNH,0
NdSe,0
NddC,0
NdsN,0
NsBr,0
NsCl,0
NsLi,0
NsOH,1
NsSH,0
NssO,1
NssS,0
NtCH,0
NtsC,0
RNCG,0.18670835768598154
RPCG,0.08096414741444187
SIC0,0.24542072480093993
SIC1,0.6300942625330807
SIC2,0.8465627021141542
SIC3,0.9405437735148597
SIC4,0.9592152901220523
SIC5,0.9592152901220523
SaaN,4.369511666889614
SaaO,0
SaaS,0
Sare,59.35200000000001
SdNH,0
SdSe,0
SddC,0
SdsN,0
SsBr,0
SsCl,0
SsLi,0
SsOH,10.147975033952445
SsSH,0
SssO,6.217190722937476
SssS,0
StCH,0
StsC,0
TIC0,88.7870772153095
TIC1,227.95233770833468
TIC2,306.26520258700907
TIC3,340.26520258700907
TIC4,347.0200900891724
TIC5,347.0200900891724
Vabc,393.012213121881
WPol,55
