DLiP-ID,C000DI
DLiP-Mol-ID,30655
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C14H16BNO/c16-11-12-17-15(13-7-3-1-4-8-13)14-9-5-2-6-10-14/h1-10H,11-12,16H2"
Standard Inchi Key(RDKit),BLZVCIGGICSWIG-UHFFFAOYSA-N
Canonical SMILES(RDKit),NCCOB(c1ccccc1)c1ccccc1
SMILES(SDF),
MW(SDF),
MW(RDKit),225.1
MW Monoisotopic(RDKit),225.132494532
MolLogP(RDKit),0.767599999999999
XLogP(SDF),
XLogP(CDK),3.238
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),2
HBA Lipinski(RDKit),2
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),2
PSA(SDF),
PSA(RDKit),35.25
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),5
nRings(SDF),
nRings(RDKit),2
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),17
QED Weighted(RDKit),0.762488832957273
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Menin/Histone-lysine N-methyltransferase MLL
Common Target Pref Name,MENIN/MLL
RDKit Descriptors
Ipc,11597.285971085257
qed,0.7624888329572727
Chi0,11.924438962994
Chi1,8.41501490017253
TPSA,35.25
Chi0n,9.750665083112471
Chi0v,9.750665083112471
Chi1n,5.8313431596897365
Chi1v,5.8313431596897365
Chi2n,3.860872979232253
Chi2v,3.860872979232253
Chi3n,2.607012770195121
Chi3v,2.607012770195121
Chi4n,1.8264554589927333
Chi4v,1.8264554589927333
MolMR,72.91240000000003
MolWt,225.1
fr_SH,0
Kappa1,11.897172416505281
Kappa2,6.231848478076713
Kappa3,3.1891449929925737
fr_ArN,0
fr_COO,0
fr_C_O,0
fr_C_S,0
fr_NH0,0
fr_NH1,0
fr_NH2,1
fr_N_O,0
fr_azo,0
BertzCT,392.9899022347741
MolLogP,0.7675999999999994
NOCount,2
fr_Ar_N,0
fr_COO2,0
fr_urea,0
BalabanJ,2.257022317582423
SMR_VSA1,4.654358134025346
SMR_VSA2,0.0
SMR_VSA3,0.0
SMR_VSA4,5.733667477162185
SMR_VSA5,0.0
SMR_VSA6,13.151638370425493
SMR_VSA7,60.6636706846161
SMR_VSA8,0.0
SMR_VSA9,0.0
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,0
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,102.52951840298599
NHOHCount,2
PEOE_VSA1,10.38802561118753
PEOE_VSA2,0.0
PEOE_VSA3,0.0
PEOE_VSA4,0.0
PEOE_VSA5,0.0
PEOE_VSA6,60.6636706846161
PEOE_VSA7,10.925606520829666
PEOE_VSA8,13.151638370425493
PEOE_VSA9,0.0
RingCount,2
SMR_VSA10,17.841178830593197
fr_Al_COO,0
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,225.132494532
NumHDonors,1
PEOE_VSA10,0.0
PEOE_VSA11,0.0
PEOE_VSA12,0.0
PEOE_VSA13,0.0
PEOE_VSA14,6.915572309763532
SlogP_VSA1,16.65927399799185
SlogP_VSA2,20.067210680189024
SlogP_VSA3,4.654358134025346
SlogP_VSA4,0.0
SlogP_VSA5,0.0
SlogP_VSA6,60.6636706846161
SlogP_VSA7,0.0
SlogP_VSA8,0.0
SlogP_VSA9,0.0
fr_amidine,0
fr_aniline,0
fr_benzene,2
fr_epoxide,0
fr_guanido,0
fr_halogen,0
fr_hdrzine,0
fr_hdrzone,0
fr_isocyan,0
fr_lactone,0
fr_methoxy,0
fr_nitrile,0
fr_nitroso,0
fr_oxazole,0
fr_sulfide,0
fr_sulfone,0
EState_VSA1,0.0
EState_VSA2,6.915572309763532
EState_VSA3,13.151638370425493
EState_VSA4,10.925606520829666
EState_VSA5,0.0
EState_VSA6,0.0
EState_VSA7,36.39820241076966
EState_VSA8,24.26546827384644
EState_VSA9,10.38802561118753
SlogP_VSA10,0.0
SlogP_VSA11,0.0
SlogP_VSA12,0.0
VSA_EState1,0.0
VSA_EState2,0.0
VSA_EState3,0.0
VSA_EState4,0.0
VSA_EState5,0.0
VSA_EState6,0.0
VSA_EState7,0.0
VSA_EState8,5.83837962962963
VSA_EState9,29.328287037037043
fr_aldehyde,0
fr_barbitur,0
fr_bicyclic,0
fr_priamide,0
fr_pyridine,0
fr_thiazole,0
fr_thiocyan,0
EState_VSA10,0.0
EState_VSA11,0.0
FractionCSP3,0.14285714285714285
VSA_EState10,0.0
fr_C_O_noCOO,0
fr_Nhpyrrole,0
fr_imidazole,0
fr_phos_acid,0
fr_piperdine,0
fr_piperzine,0
fr_sulfonamd,0
fr_tetrazole,0
fr_thiophene,0
HallKierAlpha,-1.575064935064935
NumHAcceptors,2
fr_morpholine,0
fr_nitro_arom,0
fr_phos_ester,0
HeavyAtomCount,17
HeavyAtomMolWt,208.97199999999995
MaxEStateIndex,5.83837962962963
MinEStateIndex,-0.026898148148148504
NumHeteroatoms,3
fr_aryl_methyl,0
