DLiP-ID,I000JJ
DLiP-Mol-ID,28500
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C16H20N2O4S/c1-11-16(12(2)22-17-11)13-6-7-14(21-3)15(10-13)23(19,20)18-8-4-5-9-18/h6-7,10H,4-5,8-9H2,1-3H3"
Standard Inchi Key(RDKit),JIXMFEDNAVCSIJ-UHFFFAOYSA-N
Canonical SMILES(RDKit),COc1ccc(-c2c(C)noc2C)cc1S(=O)(=O)N1CCCC1
SMILES(SDF),
MW(SDF),
MW(RDKit),336.413
MW Monoisotopic(RDKit),336.11437812
MolLogP(RDKit),2.75154
XLogP(SDF),
XLogP(CDK),2.528
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),5
HBA Lipinski(RDKit),6
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),0
HBD Lipinski(RDKit),0
PSA(SDF),
PSA(RDKit),72.64
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),4
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),23
QED Weighted(RDKit),0.858227816824489
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Bromodomain_Histone
Common Target Pref Name,Bromodomain/Histone
RDKit Descriptors
Ipc,225709.27136774335
qed,0.8582278168244888
Chi0,16.61251969619286
Chi1,10.946725536263529
TPSA,72.64
Chi0n,13.4961465756343
Chi0v,14.312643156562027
