DLiP-ID,T007P9
DLiP-Mol-ID,25912
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C25H28N6O3S/c1-16(26-2)22(32)27-21(18-12-7-4-8-13-18)25(34)31-15-9-14-19(31)23(33)28-24-20(29-30-35-24)17-10-5-3-6-11-17/h3-8,10-13,16,19,21,26H,9,14-15H2,1-2H3,(H,27,32)(H,28,33)/t16-,19-,21-/m0/s1"
Standard Inchi Key(RDKit),YMBRHCWKLURLLM-LRQRDZAKSA-N
Canonical SMILES(RDKit),CN[C@@H](C)C(=O)N[C@H](C(=O)N1CCC[C@H]1C(=O)Nc1snnc1-c1ccccc1)c1ccccc1
SMILES(SDF),
MW(SDF),
MW(RDKit),492.605
MW Monoisotopic(RDKit),492.194359756
MolLogP(RDKit),2.6
XLogP(SDF),
XLogP(CDK),2.403
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),7
HBA Lipinski(RDKit),9
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),3
HBD Lipinski(RDKit),3
PSA(SDF),
PSA(RDKit),116.32
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),8
nRings(SDF),
nRings(RDKit),4
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),35
QED Weighted(RDKit),0.445176435427159
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,XIAP/Caspase9 or SMAC (BIR3 domanin)
Common Target Pref Name,XIAP/SMAC
RDKit Descriptors
Ipc,122718866.71297231
qed,0.4451764354271594
Chi0,24.78588180363028
Chi1,16.99040230064194
TPSA,116.32000000000001
Chi0n,19.60150779138011
Chi0v,20.418004372307838
Chi1n,11.509727590295029
Chi1v,12.283124252429003
Chi2n,8.358249761377897
Chi2v,9.112371553862358
Chi3n,6.103246619314625
Chi3v,6.744531359484687
Chi4n,4.0531698911167044
Chi4v,4.648674149322236
MolMR,134.5570999999999
MolWt,492.60500000000013
fr_SH,0
Kappa1,24.493172337115244
Kappa2,11.196969886054658
Kappa3,5.549065206902673
fr_ArN,0
fr_COO,0
fr_C_O,3
fr_C_S,0
fr_NH0,3
fr_NH1,3
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,1170.2148539959514
MolLogP,2.6000000000000005
NOCount,9
fr_Ar_N,2
fr_COO2,0
fr_urea,0
BalabanJ,1.536282392371601
SMR_VSA1,14.383611552215466
SMR_VSA2,0.0
SMR_VSA3,25.120412015934455
SMR_VSA4,0.0
SMR_VSA5,37.89090293298653
SMR_VSA6,18.909216992596097
SMR_VSA7,66.2271221763131
SMR_VSA8,0.0
SMR_VSA9,11.257379486545457
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,3
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,207.63731294727185
NHOHCount,3
PEOE_VSA1,20.850275542869472
PEOE_VSA2,14.383611552215466
PEOE_VSA3,0.0
PEOE_VSA4,0.0
PEOE_VSA5,5.098681808301038
PEOE_VSA6,65.15191395338638
PEOE_VSA7,32.37650391991683
PEOE_VSA8,23.640694509176246
PEOE_VSA9,6.041840829147961
RingCount,4
SMR_VSA10,34.25510777630906
fr_Al_COO,0
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,492.19435975600004
NumHDonors,3
PEOE_VSA10,22.77869162983225
PEOE_VSA11,0.0
PEOE_VSA12,17.721539188054518
PEOE_VSA13,0.0
PEOE_VSA14,0.0
SlogP_VSA1,15.950365812018994
SlogP_VSA2,57.884484042862
SlogP_VSA3,14.383611552215466
SlogP_VSA4,0.0
SlogP_VSA5,31.3706727663876
SlogP_VSA6,60.6636706846161
SlogP_VSA7,0.0
SlogP_VSA8,11.257379486545457
SlogP_VSA9,0.0
fr_amidine,0
fr_aniline,1
fr_benzene,2
fr_epoxide,0
fr_guanido,0
fr_halogen,0
fr_hdrzine,0
fr_hdrzone,0
fr_isocyan,0
fr_lactone,0
fr_methoxy,0
fr_nitrile,0
fr_nitroso,0
fr_oxazole,0
fr_sulfide,0
fr_sulfone,0
EState_VSA1,18.12552248744388
EState_VSA2,17.721539188054518
EState_VSA3,35.64486111499792
EState_VSA4,17.09593810326367
EState_VSA5,0.0
EState_VSA6,31.00405305014151
EState_VSA7,48.53093654769288
EState_VSA8,25.53729088909031
EState_VSA9,0.0
SlogP_VSA10,5.001081976687867
SlogP_VSA11,0.0
SlogP_VSA12,11.532486611566675
VSA_EState1,0.0
VSA_EState2,0.0
VSA_EState3,0.0
VSA_EState4,0.0
VSA_EState5,0.0
VSA_EState6,0.0
VSA_EState7,0.0
VSA_EState8,4.000412358879656
VSA_EState9,77.40163947171902
fr_aldehyde,0
fr_barbitur,0
fr_bicyclic,0
fr_priamide,0
fr_pyridine,0
fr_thiazole,0
fr_thiocyan,0
EState_VSA10,14.383611552215466
EState_VSA11,0.0
FractionCSP3,0.32
VSA_EState10,1.0979481694012994
fr_C_O_noCOO,3
fr_Nhpyrrole,0
fr_imidazole,0
fr_phos_acid,0
fr_piperdine,0
fr_piperzine,0
fr_sulfonamd,0
fr_tetrazole,0
fr_thiophene,0
HallKierAlpha,-3.6299999999999986
NumHAcceptors,7
fr_morpholine,0
fr_nitro_arom,0
fr_phos_ester,0
HeavyAtomCount,35
HeavyAtomMolWt,464.38100000000026
MaxEStateIndex,13.686795678951611
MinEStateIndex,-0.8908788463987778
NumHeteroatoms,10
fr_aryl_methyl,0
fr_isothiocyan,0
fr_Al_OH_noTert,0
fr_alkyl_halide,0
fr_allylic_oxid,0
fr_prisulfonamd,0
FpDensityMorgan1,1.0571428571428572
FpDensityMorgan2,1.7428571428571429
